source	original_symbol	outcome	hgnc_id	approved_symbol	match_type	snapshot	carried_forward	note
reactome	16S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	18S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	18S rRNA, 5.8S rRNA, 28S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	1B	unmapped	-	-	-	current	-	no match in snapshot current
reactome	1C	unmapped	-	-	-	current	-	no match in snapshot current
reactome	1a	unmapped	-	-	-	current	-	no match in snapshot current
reactome	28S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	3a	unmapped	-	-	-	current	-	no match in snapshot current
reactome	3b	unmapped	-	-	-	current	-	no match in snapshot current
reactome	45S pre-rRNA gene	unmapped	-	-	-	current	-	no match in snapshot current
reactome	5.8S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	5S rRNA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	6	unmapped	-	-	-	current	-	no match in snapshot current
reactome	7SL RNA (ENSG00000222619)	unmapped	-	-	-	current	-	no match in snapshot current
reactome	7SL RNA (ENSG00000222639)	unmapped	-	-	-	current	-	no match in snapshot current
reactome	7a	unmapped	-	-	-	current	-	no match in snapshot current
reactome	8	unmapped	-	-	-	current	-	no match in snapshot current
reactome	8b	unmapped	-	-	-	current	-	no match in snapshot current
reactome	9b	unmapped	-	-	-	current	-	no match in snapshot current
reactome	AAC(6')-Ib	unmapped	-	-	-	current	-	no match in snapshot current
reactome	ACOT7L	unmapped	-	-	-	current	-	no match in snapshot current
reactome	BLNC1	alias	HGNC:30131	PAQR9	alias	current	no	-
reactome	C2orf49	previous	HGNC:28772	TSLIG2	previous	current	no	-
reactome	CLUAP1	previous	HGNC:19009	IFT38	previous	current	no	-
reactome	CVC1	unmapped	-	-	-	current	-	no match in snapshot current
reactome	CVC2	unmapped	-	-	-	current	-	no match in snapshot current
reactome	DDX58	previous	HGNC:19102	RIGI	previous	current	no	-
reactome	DEANR1	alias	HGNC:16189	LINC00261	alias	current	no	-
reactome	DENCMEMSB	unmapped	-	-	-	current	-	no match in snapshot current
reactome	E	unmapped	-	-	-	current	-	no match in snapshot current
reactome	E1	ambiguous	-	-	-	current	-	ambiguous at the alias tier of snapshot current; candidates: HGNC:983|BCHE; HGNC:10115|SNORA73A; HGNC:24599|ENOPH1
reactome	F	unmapped	-	-	-	current	-	no match in snapshot current
reactome	FAM83A	previous	HGNC:28210	SACK1A	previous	current	no	-
reactome	FAM83B	previous	HGNC:21357	SACK1B	previous	current	no	-
reactome	FAM83D	previous	HGNC:16122	SACK1D	previous	current	no	-
reactome	FAM98B	previous	HGNC:26773	TSLIG3B	previous	current	no	-
reactome	FCGR1B	previous	HGNC:3614	FCGR1BP	previous	current	no	-
reactome	FGFR2b	unmapped	-	-	-	current	-	no match in snapshot current
reactome	FGFR2c	unmapped	-	-	-	current	-	no match in snapshot current
reactome	G	unmapped	-	-	-	current	-	no match in snapshot current
reactome	Genome polyprotein	unmapped	-	-	-	current	-	no match in snapshot current
reactome	HA	unmapped	-	-	-	current	-	no match in snapshot current
reactome	HA-33	unmapped	-	-	-	current	-	no match in snapshot current
reactome	HELI	unmapped	-	-	-	current	-	no match in snapshot current
reactome	HN	alias	HGNC:7471	MT-RNR2	alias	current	no	-
reactome	HSBP2	unmapped	-	-	-	current	-	no match in snapshot current
reactome	HSP70	unmapped	-	-	-	current	-	no match in snapshot current
reactome	Hh5 strain Merlin complete genome	unmapped	-	-	-	current	-	no match in snapshot current
reactome	Human respiratory syncytial virus A	unmapped	-	-	-	current	-	no match in snapshot current
reactome	Human respiratory syncytial virus A2, complete genome	unmapped	-	-	-	current	-	no match in snapshot current
reactome	IGHV	withdrawn	-	-	-	current	-	HGNC:5545 (IGHV@) withdrawn with no replacement
reactome	IGLV	unmapped	-	-	-	current	-	no match in snapshot current
reactome	IL8	previous	HGNC:6025	CXCL8	previous	current	no	-
reactome	KPC-2	unmapped	-	-	-	current	-	no match in snapshot current
reactome	L	unmapped	-	-	-	current	-	no match in snapshot current
reactome	LPG1G2	unmapped	-	-	-	current	-	no match in snapshot current
reactome	M	unmapped	-	-	-	current	-	no match in snapshot current
reactome	M2-1	unmapped	-	-	-	current	-	no match in snapshot current
reactome	M2-2	unmapped	-	-	-	current	-	no match in snapshot current
reactome	MC159L	unmapped	-	-	-	current	-	no match in snapshot current
reactome	MCP	previous	HGNC:6953	CD46	previous	current	no	-
reactome	MIR378	previous	HGNC:31871	MIR378A	previous	current	no	-
reactome	MIR92b	unmapped	-	-	-	current	-	no match in snapshot current
reactome	MMTAG2	alias	HGNC:19032	C1orf35	alias	current	no	-
reactome	MT2748	unmapped	-	-	-	current	-	no match in snapshot current
reactome	N	unmapped	-	-	-	current	-	no match in snapshot current
reactome	NA	previous	HGNC:12811	XK	previous	current	no	-
reactome	NAT8L	previous	HGNC:26742	ASPNAT	previous	current	no	-
reactome	NCL	previous	HGNC:7667	NUCLEOLIN	previous	current	no	-
reactome	NEC1	previous	HGNC:8743	PCSK1	previous	current	no	-
