tier	source	original_symbol	hgnc_id	approved_symbol	pathways	verified	note
alias	btm	A2BP1	HGNC:18222	RBFOX1	TBA (M98.0); TBA (M98.1)		
alias	btm	APOB48R	HGNC:24087	APOBR	enriched in monocytes (II) (M11.0); TLR and inflammatory signaling (M16); inflammatory response (M33); immune activation - generic cluster (M37.0); TBA (M48)		
alias	btm	FLJ10357	HGNC:25516	ARHGEF40	immune activation - generic cluster (M37.0); enriched in neutrophils (II) (M163)		
alias	btm	FLJ37543	HGNC:26744	LINC03122	TBA (M221)		
alias	btm	HSPC159	HGNC:25012	LGALSL	platelet activation - actin binding (M196)		
alias	btm	LPPR2	HGNC:29566	PLPPR2	Monocyte surface signature (S4)		
alias	btm	LPPR4	HGNC:23496	PLPPR4	B cell surface signature (S2)		
alias	btm	MGC16121	HGNC:28258	MIR503HG	double positive thymocytes (M126)		
alias	btm	MGC29506	HGNC:30125	MZB1	plasma cells & B cells, immunoglobulins (M156.0); plasma cells, immunoglobulins (M156.1)		
alias	btm	MST4	HGNC:18174	STK26	TBA (M72.0)		
alias	btm	SEP15	HGNC:17705	SELENOF	TBA (M174)		
alias	go	LL22NC03-63E9.3	HGNC:58774	PRAME-AS	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION; GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION; GOBP_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING		
alias	reactome	BLNC1	HGNC:30131	PAQR9	Adipogenesis; Developmental Biology; Transcriptional regulation of brown and beige adipocyte differentiation; Transcriptional regulation of brown and beige adipocyte differentiation by EBF2		
alias	reactome	DEANR1	HGNC:16189	LINC00261	Developmental Biology; Formation of definitive endoderm; Gastrulation		
alias	reactome	HN	HGNC:7471	MT-RNR2	Adaptive Immune System; Immune System; Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell		
alias	reactome	MMTAG2	HGNC:19032	C1orf35	Immune System; Innate Immune System; Neutrophil degranulation		
alias	reactome	PB1	HGNC:30064	PBRM1	ATP-dependent chromatin remodelers; Budding; CHD chromatin remodelers; CHD6, CHD7, CHD8, CHD9 subfamily; Chromatin organization (+22 more)		
alias	reactome	SCP	HGNC:30657	SLC50A1	Disease; HCMV Early Events; HCMV Infection; HCMV Late Events; Infectious disease (+1 more)		
alias	reactome	TRM3	HGNC:11568	TARBP1	Disease; HCMV Infection; HCMV Late Events; Infectious disease; Viral Infection Pathways		
alias	reactome	TRX1	HGNC:7132	KMT2A	Disease; HCMV Early Events; HCMV Infection; HCMV Late Events; Infectious disease (+1 more)		
alias	reactome	TRX2	HGNC:15840	KMT2B	Disease; HCMV Early Events; HCMV Infection; HCMV Late Events; Infectious disease (+1 more)		
previous	btm	BAI3	HGNC:945	ADGRB3	B cell surface signature (S2)		
