node	arm_A_then_B
n0124	claude-sonnet-5,claude-opus-5
n0137	claude-sonnet-5,claude-opus-5
n0206	claude-sonnet-5,claude-opus-5
n0271	claude-opus-5,claude-sonnet-5
n0370	claude-opus-5,claude-sonnet-5
n0371	claude-opus-5,claude-sonnet-5
n0387	claude-opus-5,claude-sonnet-5
n0396	claude-opus-5,claude-sonnet-5
n0415	claude-opus-5,claude-sonnet-5
n0486	claude-opus-5,claude-sonnet-5
n0528	claude-sonnet-5,claude-opus-5
n0533	claude-sonnet-5,claude-opus-5
n0538	claude-opus-5,claude-sonnet-5
n0570	claude-sonnet-5,claude-opus-5
n0578	claude-opus-5,claude-sonnet-5
n0592	claude-sonnet-5,claude-opus-5
n0598	claude-sonnet-5,claude-opus-5
n0629	claude-opus-5,claude-sonnet-5
n0636	claude-opus-5,claude-sonnet-5
n0648	claude-opus-5,claude-sonnet-5
n0735	claude-sonnet-5,claude-opus-5
n0748	claude-opus-5,claude-sonnet-5
n0772	claude-opus-5,claude-sonnet-5
n0778	claude-sonnet-5,claude-opus-5
n0845	claude-opus-5,claude-sonnet-5
n0911	claude-opus-5,claude-sonnet-5
n0931	claude-opus-5,claude-sonnet-5
n0938	claude-opus-5,claude-sonnet-5
n0942	claude-opus-5,claude-sonnet-5
n0970	claude-opus-5,claude-sonnet-5
n0971	claude-sonnet-5,claude-opus-5
n0978	claude-sonnet-5,claude-opus-5
n0991	claude-opus-5,claude-sonnet-5
n1022	claude-opus-5,claude-sonnet-5
n1024	claude-sonnet-5,claude-opus-5
n1035	claude-opus-5,claude-sonnet-5
n1052	claude-sonnet-5,claude-opus-5
n1063	claude-opus-5,claude-sonnet-5
n1064	claude-opus-5,claude-sonnet-5
n1073	claude-sonnet-5,claude-opus-5
n1089	claude-sonnet-5,claude-opus-5
n1106	claude-sonnet-5,claude-opus-5
n1111	claude-opus-5,claude-sonnet-5
n1133	claude-sonnet-5,claude-opus-5
n1146	claude-opus-5,claude-sonnet-5
n1167	claude-opus-5,claude-sonnet-5
n1172	claude-sonnet-5,claude-opus-5
n1185	claude-sonnet-5,claude-opus-5
n1188	claude-opus-5,claude-sonnet-5
n1194	claude-sonnet-5,claude-opus-5
