source	strength	band	n	arm	rate	band_chance	global_chance	lift
collision	redundancy	0.15 < J <= 1	38	descriptions	1.0000	0.4378	0.0247	2.28
collision	redundancy	0.05 < J <= 0.15	33	descriptions	1.0000	0.2136	0.0247	4.68
collision	redundancy	0.01 < J <= 0.05	17	descriptions	1.0000	0.0679	0.0247	14.73
collision	redundancy	0 < J <= 0.01	9	descriptions	0.8889	0.0257	0.0247	34.60
collision	redundancy	exactly 0	3	descriptions	1.0000	0.0191	0.0247	52.26
collision	redundancy	0.15 < J <= 1	38	name-stripped	0.9474	0.4486	0.0259	2.11
collision	redundancy	0.05 < J <= 0.15	33	name-stripped	0.9091	0.2353	0.0259	3.86
collision	redundancy	0.01 < J <= 0.05	17	name-stripped	0.8235	0.0790	0.0259	10.43
collision	redundancy	0 < J <= 0.01	9	name-stripped	0.7778	0.0287	0.0259	27.13
collision	redundancy	exactly 0	3	name-stripped	0.6667	0.0191	0.0259	34.89
collision	redundancy	0.15 < J <= 1	38	jaccard	0.8158	0.6414	0.4076	1.27
collision	redundancy	0.05 < J <= 0.15	33	jaccard	0.3636	0.3906	0.4076	0.93
collision	redundancy	0.01 < J <= 0.05	17	jaccard	0.2353	0.2659	0.4076	0.88
collision	redundancy	0 < J <= 0.01	9	jaccard	0.2222	0.1600	0.4076	1.39
collision	redundancy	exactly 0	3	jaccard	1.0000	0.4460	0.4076	2.24
collision	redundancy	0.15 < J <= 1	38	ochiai	0.7105	0.7153	0.2298	0.99
collision	redundancy	0.05 < J <= 0.15	33	ochiai	0.3333	0.3401	0.2298	0.98
collision	redundancy	0.01 < J <= 0.05	17	ochiai	0.1765	0.1712	0.2298	1.03
collision	redundancy	0 < J <= 0.01	9	ochiai	0.2222	0.1129	0.2298	1.97
collision	redundancy	exactly 0	3	ochiai	0.0000	0.2450	0.2298	0.00
collision	redundancy	0.15 < J <= 1	38	overlap	0.9211	0.8919	0.1950	1.03
collision	redundancy	0.05 < J <= 0.15	33	overlap	0.5455	0.6743	0.1950	0.81
collision	redundancy	0.01 < J <= 0.05	17	overlap	0.5882	0.4200	0.1950	1.40
collision	redundancy	0 < J <= 0.01	9	overlap	0.4444	0.2687	0.1950	1.65
collision	redundancy	exactly 0	3	overlap	0.3333	0.1654	0.1950	2.02
collision	redundancy	0.15 < J <= 1	38	kappa	1.0000	0.9802	0.3759	1.02
collision	redundancy	0.05 < J <= 0.15	33	kappa	0.6061	0.8185	0.3759	0.74
collision	redundancy	0.01 < J <= 0.05	17	kappa	0.5882	0.6591	0.3759	0.89
collision	redundancy	0 < J <= 0.01	9	kappa	0.5556	0.5196	0.3759	1.07
collision	redundancy	exactly 0	3	kappa	0.3333	0.3351	0.3759	0.99
collision	redundancy	0.15 < J <= 1	38	D classic	1.0000	1.0000	0.6564	1.00
collision	redundancy	0.05 < J <= 0.15	33	D classic	0.9394	0.9443	0.6564	0.99
collision	redundancy	0.01 < J <= 0.05	17	D classic	0.7059	0.9011	0.6564	0.78
collision	redundancy	0 < J <= 0.01	9	D classic	0.5556	0.8561	0.6564	0.65
collision	redundancy	exactly 0	3	D classic	0.3333	0.6151	0.6564	0.54
collision	redundancy	0.15 < J <= 1	38	D matched	0.9737	0.9099	0.0101	1.07
collision	redundancy	0.05 < J <= 0.15	33	D matched	0.4545	0.3987	0.0101	1.14
collision	redundancy	0.01 < J <= 0.05	17	D matched	0.1765	0.0586	0.0101	3.01
collision	redundancy	0 < J <= 0.01	9	D matched	0.0000	0.0077	0.0101	0.00
collision	redundancy	exactly 0	3	D matched	0.0000	0.0021	0.0101	0.00
reactome2go	strong	0.15 < J <= 1	36	descriptions	1.0000	0.4378	0.0247	2.28
reactome2go	strong	0.05 < J <= 0.15	23	descriptions	1.0000	0.2136	0.0247	4.68
reactome2go	strong	0.01 < J <= 0.05	13	descriptions	0.5385	0.0679	0.0247	7.93
reactome2go	strong	0 < J <= 0.01	2	descriptions	0.5000	0.0257	0.0247	19.46
reactome2go	strong	exactly 0	1	descriptions	1.0000	0.0191	0.0247	52.26
reactome2go	strong	0.15 < J <= 1	36	name-stripped	1.0000	0.4486	0.0259	2.23
reactome2go	strong	0.05 < J <= 0.15	23	name-stripped	0.8696	0.2353	0.0259	3.69
reactome2go	strong	0.01 < J <= 0.05	13	name-stripped	0.6154	0.0790	0.0259	7.79
reactome2go	strong	0 < J <= 0.01	2	name-stripped	0.5000	0.0287	0.0259	17.44
reactome2go	strong	exactly 0	1	name-stripped	1.0000	0.0191	0.0259	52.33
reactome2go	strong	0.15 < J <= 1	36	jaccard	0.8333	0.6414	0.4076	1.30
reactome2go	strong	0.05 < J <= 0.15	23	jaccard	0.3043	0.3906	0.4076	0.78
reactome2go	strong	0.01 < J <= 0.05	13	jaccard	0.1538	0.2659	0.4076	0.58
reactome2go	strong	0 < J <= 0.01	2	jaccard	0.5000	0.1600	0.4076	3.13
reactome2go	strong	exactly 0	1	jaccard	1.0000	0.4460	0.4076	2.24
reactome2go	strong	0.15 < J <= 1	36	ochiai	0.7778	0.7153	0.2298	1.09
reactome2go	strong	0.05 < J <= 0.15	23	ochiai	0.3043	0.3401	0.2298	0.89
reactome2go	strong	0.01 < J <= 0.05	13	ochiai	0.0769	0.1712	0.2298	0.45
reactome2go	strong	0 < J <= 0.01	2	ochiai	0.5000	0.1129	0.2298	4.43
reactome2go	strong	exactly 0	1	ochiai	0.0000	0.2450	0.2298	0.00
reactome2go	strong	0.15 < J <= 1	36	overlap	0.9167	0.8919	0.1950	1.03
reactome2go	strong	0.05 < J <= 0.15	23	overlap	0.6522	0.6743	0.1950	0.97
reactome2go	strong	0.01 < J <= 0.05	13	overlap	0.3077	0.4200	0.1950	0.73
reactome2go	strong	0 < J <= 0.01	2	overlap	0.0000	0.2687	0.1950	0.00
reactome2go	strong	exactly 0	1	overlap	0.0000	0.1654	0.1950	0.00
reactome2go	strong	0.15 < J <= 1	36	kappa	0.9722	0.9802	0.3759	0.99
reactome2go	strong	0.05 < J <= 0.15	23	kappa	0.5652	0.8185	0.3759	0.69
reactome2go	strong	0.01 < J <= 0.05	13	kappa	0.5385	0.6591	0.3759	0.82
reactome2go	strong	0 < J <= 0.01	2	kappa	0.5000	0.5196	0.3759	0.96
reactome2go	strong	exactly 0	1	kappa	0.0000	0.3351	0.3759	0.00
