source	strength	band	n	measure	auroc	cliffs_delta
collision	redundancy	0.15 < J <= 1	38	descriptions	0.9774	0.9548
collision	redundancy	0.05 < J <= 0.15	33	descriptions	0.9962	0.9924
collision	redundancy	0.01 < J <= 0.05	17	descriptions	0.9999	0.9999
collision	redundancy	0.15 < J <= 1	38	name-stripped	0.8907	0.7815
collision	redundancy	0.05 < J <= 0.15	33	name-stripped	0.9442	0.8883
collision	redundancy	0.01 < J <= 0.05	17	name-stripped	0.9933	0.9865
collision	redundancy	0.15 < J <= 1	38	jaccard	0.5361	0.0723
collision	redundancy	0.05 < J <= 0.15	33	jaccard	0.6896	0.3792
collision	redundancy	0.01 < J <= 0.05	17	jaccard	0.5751	0.1502
collision	redundancy	0.15 < J <= 1	38	ochiai	0.4945	-0.0111
collision	redundancy	0.05 < J <= 0.15	33	ochiai	0.7513	0.5027
collision	redundancy	0.01 < J <= 0.05	17	ochiai	0.8378	0.6756
collision	redundancy	0.15 < J <= 1	38	overlap	0.3909	-0.2182
collision	redundancy	0.05 < J <= 0.15	33	overlap	0.7152	0.4304
collision	redundancy	0.01 < J <= 0.05	17	overlap	0.8586	0.7173
collision	redundancy	0.15 < J <= 1	38	kappa	0.5237	0.0474
collision	redundancy	0.05 < J <= 0.15	33	kappa	0.6919	0.3838
collision	redundancy	0.01 < J <= 0.05	17	kappa	0.6399	0.2798
reactome2go	strong	0.15 < J <= 1	36	descriptions	0.9608	0.9217
reactome2go	strong	0.05 < J <= 0.15	23	descriptions	0.9901	0.9803
reactome2go	strong	0.01 < J <= 0.05	13	descriptions	0.9387	0.8775
reactome2go	strong	0.15 < J <= 1	36	name-stripped	0.8930	0.7860
reactome2go	strong	0.05 < J <= 0.15	23	name-stripped	0.9183	0.8366
reactome2go	strong	0.01 < J <= 0.05	13	name-stripped	0.8872	0.7745
reactome2go	strong	0.15 < J <= 1	36	jaccard	0.5477	0.0955
reactome2go	strong	0.05 < J <= 0.15	23	jaccard	0.7896	0.5793
reactome2go	strong	0.01 < J <= 0.05	13	jaccard	0.6741	0.3482
reactome2go	strong	0.15 < J <= 1	36	ochiai	0.5131	0.0262
reactome2go	strong	0.05 < J <= 0.15	23	ochiai	0.7750	0.5501
reactome2go	strong	0.01 < J <= 0.05	13	ochiai	0.7950	0.5900
reactome2go	strong	0.15 < J <= 1	36	overlap	0.4120	-0.1760
reactome2go	strong	0.05 < J <= 0.15	23	overlap	0.6954	0.3908
reactome2go	strong	0.01 < J <= 0.05	13	overlap	0.8167	0.6333
reactome2go	strong	0.15 < J <= 1	36	kappa	0.5384	0.0767
reactome2go	strong	0.05 < J <= 0.15	23	kappa	0.7917	0.5835
reactome2go	strong	0.01 < J <= 0.05	13	kappa	0.7097	0.4193
reactome-siblings	weak	0.15 < J <= 1	33	descriptions	0.7373	0.4746
reactome-siblings	weak	0.05 < J <= 0.15	39	descriptions	0.8221	0.6441
reactome-siblings	weak	0.01 < J <= 0.05	40	descriptions	0.8380	0.6760
reactome-siblings	weak	0 < J <= 0.01	13	descriptions	0.8548	0.7095
