key	source	name	k10	k25	k50	k100	k200	provenance
btm:M110	btm	axon guidance	6	17	40	85	180	scope=smoke descriptions=1854 sha256=27590d35aa07ba16 model=FremyCompany/BioLORD-2023
btm:M112.0	btm	complement activation (I)	6	10	15	24	45	
btm:M113	btm	golgi membrane (I)	6	16	31	52	106	
btm:M118.0	btm	enriched in monocytes (IV)	6	10	15	25	49	
btm:M118.1	btm	enriched in monocytes (surface)	6	10	15	25	49	
btm:M129	btm	inositol phosphate metabolism	6	16	35	74	155	
btm:M130	btm	enriched in G-protein coupled receptors	6	16	32	55	114	
btm:M133.0	btm	cell adhesion, membrane	6	14	23	37	69	
btm:M133.1	btm	cell cell adhesion	6	14	23	37	69	
btm:M137	btm	TBA	6	16	33	69	144	
btm:M14	btm	T cell differentiation	6	10	15	24	48	
btm:M147	btm	intracellular transport	6	16	31	52	106	
btm:M154.0	btm	amino acid metabolishm and transport	2	4	6	9	18	
btm:M16	btm	TLR and inflammatory signaling	6	10	15	24	48	
btm:M160	btm	leukocyte differentiation	6	10	15	24	48	
btm:M164	btm	xenobiotic metabolism	6	16	35	75	159	
btm:M168	btm	enriched in dendritic cells	6	10	15	25	49	
btm:M17.3	btm	Hox cluster IV	6	17	40	84	175	
btm:M172	btm	enriched for TF motif TTCNRGNNNNTTC	6	16	34	71	147	
btm:M177.0	btm	TBA	6	10	15	24	48	
btm:M177.1	btm	TBA	6	10	15	24	48	
btm:M18	btm	T cell differentiation via ITK and PKC	6	10	15	24	48	
btm:M195	btm	muscle contraction, SRF targets	6	15	27	45	91	
btm:M198	btm	TBA	6	10	15	24	48	
btm:M200	btm	antigen processing and presentation	6	10	15	25	50	
btm:M206	btm	Wnt signaling pathway	6	16	33	59	120	
btm:M208	btm	TBA	6	14	23	37	68	
btm:M209	btm	lysosome	6	16	31	52	105	
btm:M215	btm	small GTPase mediated signal transduction	6	16	33	69	143	
btm:M225	btm	metabolism of steroids	2	4	7	10	19	
btm:M231	btm	respiratory electron transport chain (mitochondrion)	6	16	35	76	161	
btm:M234	btm	transcription elongation, RNA polymerase II	6	16	33	69	142	
btm:M24	btm	cell activation (IL15, IL23, TNF)	6	10	15	24	48	
btm:M240	btm	chromosome Y linked	6	11	18	30	56	
btm:M241	btm	TBA	6	16	30	48	96	
btm:M242	btm	TBA	6	16	33	69	144	
btm:M247	btm	enriched in nuclear pore complex interacting proteins	6	16	30	48	95	
btm:M248	btm	TBA	6	16	33	69	144	
btm:M249	btm	TBA	2	4	7	10	20	
btm:M27.1	btm	chemokine cluster (II)	6	10	15	24	48	
btm:M32.6	btm	TBA	6	16	33	59	122	
btm:M33	btm	inflammatory response	6	10	15	24	44	
btm:M34	btm	cytoskeletal remodeling (enriched for SRF targets)	6	14	23	37	69	
btm:M37.1	btm	enriched in neutrophils (I)	6	10	15	25	49	
btm:M37.3	btm	cell division	6	16	33	61	126	
btm:M39	btm	integrin mediated leukocyte migration	6	10	15	24	48	
btm:M4.14	btm	Rho GTPase cycle	6	16	33	69	143	
btm:M4.7	btm	mitotic cell cycle	6	16	33	61	126	
btm:M40	btm	complement and other receptors in DCs	6	10	15	24	45	
btm:M41.2	btm	TBA	6	16	33	59	119	
btm:M41.3	btm	TBA	6	14	23	37	68	
btm:M44	btm	T cell signaling and costimulation	6	10	15	24	48	
btm:M47.0	btm	enriched in B cells (I)	6	10	15	25	49	
btm:M47.3	btm	enriched in B cells (IV)	6	10	15	25	49	
btm:M51	btm	cell adhesion	6	14	23	37	69	
btm:M52	btm	T cell activation (IV)	6	10	15	24	48	
btm:M57	btm	immuregulation - monocytes, T and B cells	6	10	15	24	48	
btm:M6	btm	mitotic cell division	6	16	33	61	126	
btm:M61.2	btm	enriched in NK cells (receptor activation)	6	10	15	25	49	
btm:M63	btm	regulation of localization (GO)	6	16	31	51	103	
btm:M66	btm	TBA	6	10	15	24	48	
btm:M69	btm	enriched in B cells (VI)	6	10	15	25	49	
