key	source	name	k10	k25	k50	k100	k200	provenance
btm:M110	btm	axon guidance	8	18	33	63	120	scope=smoke descriptions=1854 sha256=27590d35aa07ba16 model=FremyCompany/BioLORD-2023
btm:M112.0	btm	complement activation (I)	3	7	12	19	36	
btm:M113	btm	golgi membrane (I)	10	24	48	96	192	
btm:M118.0	btm	enriched in monocytes (IV)	2	5	9	14	26	
btm:M118.1	btm	enriched in monocytes (surface)	2	5	9	14	26	
btm:M129	btm	inositol phosphate metabolism	9	19	35	70	137	
btm:M130	btm	enriched in G-protein coupled receptors	9	20	38	75	148	
btm:M133.0	btm	cell adhesion, membrane	7	15	28	54	102	
btm:M133.1	btm	cell cell adhesion	7	15	28	54	102	
btm:M137	btm	TBA	10	23	44	88	173	
btm:M14	btm	T cell differentiation	3	7	13	20	37	
btm:M147	btm	intracellular transport	10	24	48	96	192	
btm:M154.0	btm	amino acid metabolishm and transport	1	1	2	4	6	
btm:M16	btm	TLR and inflammatory signaling	3	7	13	20	37	
btm:M160	btm	leukocyte differentiation	3	7	13	20	39	
btm:M164	btm	xenobiotic metabolism	6	13	23	43	81	
btm:M168	btm	enriched in dendritic cells	2	5	9	14	26	
btm:M17.3	btm	Hox cluster IV	7	15	29	55	104	
btm:M172	btm	enriched for TF motif TTCNRGNNNNTTC	9	19	35	67	131	
btm:M177.0	btm	TBA	3	7	13	20	42	
btm:M177.1	btm	TBA	3	7	13	20	42	
btm:M18	btm	T cell differentiation via ITK and PKC	3	7	13	20	37	
btm:M195	btm	muscle contraction, SRF targets	10	25	49	98	197	
btm:M198	btm	TBA	3	7	13	20	42	
btm:M200	btm	antigen processing and presentation	2	5	9	14	26	
btm:M206	btm	Wnt signaling pathway	8	16	31	59	111	
btm:M208	btm	TBA	10	23	45	90	178	
btm:M209	btm	lysosome	7	14	25	45	87	
btm:M215	btm	small GTPase mediated signal transduction	9	20	38	76	150	
btm:M225	btm	metabolism of steroids	1	1	3	5	7	
btm:M231	btm	respiratory electron transport chain (mitochondrion)	10	24	47	94	189	
btm:M234	btm	transcription elongation, RNA polymerase II	9	19	37	73	144	
btm:M24	btm	cell activation (IL15, IL23, TNF)	3	7	13	20	38	
btm:M240	btm	chromosome Y linked	7	14	25	47	90	
btm:M241	btm	TBA	10	23	44	88	171	
btm:M242	btm	TBA	10	23	44	88	173	
btm:M247	btm	enriched in nuclear pore complex interacting proteins	10	23	44	88	171	
btm:M248	btm	TBA	10	23	44	88	173	
btm:M249	btm	TBA	1	1	1	3	4	
btm:M27.1	btm	chemokine cluster (II)	3	7	12	19	36	
btm:M32.6	btm	TBA	10	23	44	87	170	
btm:M33	btm	inflammatory response	3	7	12	18	34	
btm:M34	btm	cytoskeletal remodeling (enriched for SRF targets)	3	6	10	15	28	
btm:M37.1	btm	enriched in neutrophils (I)	2	5	9	14	26	
btm:M37.3	btm	cell division	7	15	27	49	93	
btm:M39	btm	integrin mediated leukocyte migration	3	7	12	19	35	
btm:M4.14	btm	Rho GTPase cycle	9	19	35	69	136	
btm:M4.7	btm	mitotic cell cycle	7	15	27	49	93	
btm:M40	btm	complement and other receptors in DCs	3	7	12	19	36	
btm:M41.2	btm	TBA	8	18	33	63	120	
btm:M41.3	btm	TBA	8	18	33	63	120	
