key	source	name	k10	k25	k50	k100	k200	provenance
btm:M110	btm	axon guidance	7	17	33	64	122	scope=smoke descriptions=1854 sha256=27590d35aa07ba16 model=FremyCompany/BioLORD-2023
btm:M112.0	btm	complement activation (I)	1	2	5	11	18	
btm:M113	btm	golgi membrane (I)	7	19	36	70	136	
btm:M118.0	btm	enriched in monocytes (IV)	1	2	5	10	16	
btm:M118.1	btm	enriched in monocytes (surface)	1	2	5	10	16	
btm:M129	btm	inositol phosphate metabolism	2	3	6	13	22	
btm:M130	btm	enriched in G-protein coupled receptors	10	24	47	93	183	
btm:M133.0	btm	cell adhesion, membrane	5	11	23	46	89	
btm:M133.1	btm	cell cell adhesion	5	11	23	46	89	
btm:M137	btm	TBA	10	25	50	100	200	
btm:M14	btm	T cell differentiation	1	1	2	4	6	
btm:M147	btm	intracellular transport	7	19	36	70	136	
btm:M154.0	btm	amino acid metabolishm and transport	4	9	19	40	78	
btm:M16	btm	TLR and inflammatory signaling	1	2	3	6	9	
btm:M160	btm	leukocyte differentiation	1	2	5	9	15	
btm:M164	btm	xenobiotic metabolism	2	3	7	15	25	
btm:M168	btm	enriched in dendritic cells	1	2	5	10	16	
btm:M17.3	btm	Hox cluster IV	5	14	29	58	113	
btm:M172	btm	enriched for TF motif TTCNRGNNNNTTC	2	4	9	21	39	
btm:M177.0	btm	TBA	1	2	5	11	20	
btm:M177.1	btm	TBA	1	2	5	11	20	
btm:M18	btm	T cell differentiation via ITK and PKC	1	1	2	4	6	
btm:M195	btm	muscle contraction, SRF targets	6	15	30	59	114	
btm:M198	btm	TBA	1	2	5	11	20	
btm:M200	btm	antigen processing and presentation	1	1	1	1	1	
btm:M206	btm	Wnt signaling pathway	10	22	44	86	170	
btm:M208	btm	TBA	5	12	25	50	96	
btm:M209	btm	lysosome	10	25	50	98	196	
btm:M215	btm	small GTPase mediated signal transduction	10	25	48	94	188	
btm:M225	btm	metabolism of steroids	2	6	13	29	54	
btm:M231	btm	respiratory electron transport chain (mitochondrion)	10	23	46	91	181	
btm:M234	btm	transcription elongation, RNA polymerase II	9	21	42	82	159	
btm:M24	btm	cell activation (IL15, IL23, TNF)	1	2	5	11	20	
btm:M240	btm	chromosome Y linked	2	6	13	29	54	
btm:M241	btm	TBA	10	25	50	100	200	
btm:M242	btm	TBA	10	25	50	100	200	
btm:M247	btm	enriched in nuclear pore complex interacting proteins	9	21	42	82	165	
btm:M248	btm	TBA	10	25	50	100	200	
btm:M249	btm	TBA	3	7	15	34	62	
btm:M27.1	btm	chemokine cluster (II)	1	2	5	11	20	
btm:M32.6	btm	TBA	10	22	44	87	174	
btm:M33	btm	inflammatory response	1	2	4	8	12	
btm:M34	btm	cytoskeletal remodeling (enriched for SRF targets)	5	12	25	50	94	
btm:M37.1	btm	enriched in neutrophils (I)	1	2	5	10	16	
btm:M37.3	btm	cell division	7	18	35	68	131	
btm:M39	btm	integrin mediated leukocyte migration	1	2	5	10	17	
btm:M4.14	btm	Rho GTPase cycle	10	25	48	94	187	
btm:M4.7	btm	mitotic cell cycle	7	18	35	68	131	
btm:M40	btm	complement and other receptors in DCs	1	2	5	11	20	
btm:M41.2	btm	TBA	10	22	44	86	172	
btm:M41.3	btm	TBA	5	14	29	58	113	
btm:M44	btm	T cell signaling and costimulation	1	1	2	4	6	
btm:M47.0	btm	enriched in B cells (I)	1	1	1	2	2	
btm:M47.3	btm	enriched in B cells (IV)	1	1	1	2	2	
btm:M51	btm	cell adhesion	5	11	23	46	89	
btm:M52	btm	T cell activation (IV)	1	1	2	4	6	
btm:M57	btm	immuregulation - monocytes, T and B cells	1	1	2	4	6	
btm:M6	btm	mitotic cell division	7	18	35	68	132	
btm:M61.2	btm	enriched in NK cells (receptor activation)	1	2	5	10	16	
btm:M63	btm	regulation of localization (GO)	10	25	50	97	193	
btm:M66	btm	TBA	1	2	5	11	20	
btm:M69	btm	enriched in B cells (VI)	1	1	1	2	2	
btm:M7.2	btm	enriched in NK cells (I)	1	2	5	10	16	
btm:M7.4	btm	T cell activation (III)	1	1	2	4	6	
btm:M72.1	btm	TBA	10	25	50	100	200	
btm:M76	btm	DNA repair	9	21	41	80	156	
btm:M80	btm	TBA	1	1	2	4	6	
btm:M83	btm	enriched in naive and memory B cells	1	1	1	2	2	
btm:M86.1	btm	proinflammatory dendritic cell, myeloid cell response	1	2	5	11	20	
btm:M88.0	btm	leukocyte migration	1	2	5	10	17	
btm:M88.1	btm	enriched in hepatocyte nuclear factors (I)	3	7	15	33	60	
btm:M9	btm	B cell development	1	1	1	2	2	
btm:M95.1	btm	enriched in antigen presentation (III)	1	1	1	1	1	
btm:S0	btm	T cell surface signature	1	1	2	4	6	
go:GO:0000012	go	single strand break repair	9	21	41	80	156	
go:GO:0000019	go	regulation of mitotic recombination	7	18	35	69	134	
go:GO:0000038	go	very long-chain fatty acid metabolic process	3	7	16	35	63	
go:GO:0000050	go	urea cycle	2	3	7	16	31	
go:GO:0000055	go	ribosomal large subunit export from nucleus	9	21	42	82	164	
go:GO:0000096	go	sulfur amino acid metabolic process	2	3	7	15	29	
go:GO:0000184	go	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	9	21	42	81	158	
go:GO:0000209	go	protein polyubiquitination	10	25	50	100	199	
go:GO:0000278	go	mitotic cell cycle	7	18	35	68	131	
go:GO:0000305	go	response to oxygen radical	2	4	9	21	40	
go:GO:0000389	go	mRNA 3'-splice site recognition	9	21	42	82	160	
go:GO:0000422	go	autophagy of mitochondrion	10	25	49	95	189	
go:GO:0000423	go	mitophagy	10	25	49	95	189	
go:GO:0000448	go	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	21	42	82	161	
go:GO:0000491	go	small nucleolar ribonucleoprotein complex assembly	9	21	42	82	165	
go:GO:0000722	go	telomere maintenance via recombination	7	18	35	69	134	
go:GO:0000731	go	DNA synthesis involved in DNA repair	9	21	41	79	154	
go:GO:0000902	go	cell morphogenesis	7	17	34	66	126	
go:GO:0000910	go	cytokinesis	7	18	35	68	132	
go:GO:0000960	go	regulation of mitochondrial RNA catabolic process	10	23	46	91	180	
go:GO:0000967	go	rRNA 5'-end processing	9	21	42	82	162	
go:GO:0001561	go	fatty acid alpha-oxidation	3	7	16	35	63	
go:GO:0001562	go	response to protozoan	1	2	4	8	14	
go:GO:0001696	go	gastric acid secretion	5	14	29	55	104	
go:GO:0001709	go	cell fate determination	5	14	29	58	112	
go:GO:0001710	go	mesodermal cell fate commitment	5	14	29	58	112	
go:GO:0001732	go	formation of cytoplasmic translation initiation complex	9	21	42	82	163	
go:GO:0001756	go	somitogenesis	5	14	29	57	111	
go:GO:0001780	go	neutrophil homeostasis	1	2	4	8	14	
go:GO:0001806	go	type IV hypersensitivity	1	1	2	4	7	
go:GO:0001826	go	inner cell mass cell differentiation	5	14	29	58	113	
go:GO:0001837	go	epithelial to mesenchymal transition	5	11	23	45	88	
go:GO:0001841	go	neural tube formation	7	17	34	66	127	
go:GO:0001895	go	retina homeostasis	2	6	12	27	52	
go:GO:0001919	go	regulation of receptor recycling	10	25	50	100	198	
go:GO:0001937	go	negative regulation of endothelial cell proliferation	8	20	39	74	145	
go:GO:0001945	go	lymph vessel development	5	14	29	56	107	
go:GO:0001952	go	regulation of cell-matrix adhesion	5	12	25	49	93	
go:GO:0001991	go	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	2	4	8	18	34	
go:GO:0002016	go	regulation of blood volume by renin-angiotensin	2	4	8	18	34	
go:GO:0002063	go	chondrocyte development	5	14	28	54	101	
go:GO:0002070	go	epithelial cell maturation	5	11	23	45	88	
go:GO:0002074	go	extraocular skeletal muscle development	2	6	12	27	50	
