child	parent
n0000	n0193
n0000	n0208
n0000	n0719
n0001	n0198
n0002	n0204
n0002	n0621
n0003	n0186
n0003	n0337
n0004	n0167
n0004	n0558
n0004	n0648
n0005	n0648
n0006	n0431
n0006	n0610
n0006	n0768
n0007	n0618
n0008	n0706
n0008	n0712
n0009	n0243
n0010	n0114
n0010	n0184
n0010	n0458
n0010	n0658
n0011	n0226
n0012	n0349
n0013	n0103
n0013	n0288
n0014	n0600
n0015	n0711
n0015	n0792
n0016	n0090
n0016	n0253
n0016	n0500
n0016	n0748
n0017	n0431
n0017	n0563
n0017	n0610
n0018	n0343
n0018	n0403
n0018	n0793
n0019	n0090
n0019	n0500
n0019	n0748
n0020	n0690
n0021	n0467
n0022	n0151
n0022	n0685
n0023	n0205
n0024	n0518
n0024	n0582
n0024	n0693
n0025	n0685
n0025	n0803
n0025	n0804
n0025	n0840
n0026	n0385
n0026	n0686
n0027	n0378
n0028	n0000
n0029	n0361
n0030	n0384
n0030	n0801
n0031	n0118
n0031	n0560
n0031	n0840
n0032	n0001
n0033	n0101
n0034	n0210
n0034	n0213
n0035	n0165
n0036	n0658
n0037	n0424
n0038	n0175
n0039	n0672
n0039	n0832
n0040	n0256
n0040	n0655
n0040	n0670
n0041	n0466
n0041	n0531
n0042	n0238
n0042	n0279
n0043	n0248
n0043	n0632
n0044	n0561
n0044	n0658
n0045	n0412
n0046	n0478
n0046	n0599
n0047	n0311
n0047	n0534
n0047	n0736
n0047	n0803
n0048	n0136
n0049	n0551
n0049	n0657
n0050	n0449
n0051	n0181
n0052	n0134
n0053	n0111
n0053	n0697
n0053	n0829
n0054	n0126
n0054	n0297
n0054	n0527
n0055	n0140
n0055	n0625
n0056	n0091
n0057	n0109
n0058	n0135
n0058	n0286
n0058	n0436
n0059	n0070
n0060	n0005
n0060	n0322
n0060	n0413
n0060	n0558
n0060	n0604
n0060	n0775
n0061	n0778
n0062	n0011
n0063	n0108
n0064	n0220
n0064	n0259
n0065	n0015
n0065	n0804
n0066	n0575
n0067	n0398
n0067	n0795
n0068	n0321
n0068	n0841
n0069	n0606
n0069	n0637
n0070	n0168
n0070	n0637
n0071	n0304
n0071	n0412
n0072	n0066
n0073	n0153
n0073	n0243
n0073	n0605
n0074	n0508
n0074	n0547
n0074	n0599
n0075	n0367
n0075	n0640
n0076	n0180
n0077	n0485
n0077	n0658
n0078	n0762
n0078	n0803
n0078	n0804
n0079	n0576
n0080	n0136
n0081	n0415
n0081	n0530
n0082	n0561
n0082	n0724
n0083	n0323
n0084	n0746
n0085	n0224
n0085	n0680
n0086	n0298
n0086	n0696
n0086	n0812
n0087	n0481
n0087	n0586
n0087	n0617
n0088	n0602
n0088	n0627
n0089	n0280
n0090	n0463
n0090	n0660
n0091	n0466
n0092	n0351
n0093	n0199
n0093	n0201
n0093	n0610
n0093	n0658
n0094	n0125
n0095	n0539
n0096	n0194
n0097	n0658
n0098	n0536
n0098	n0556
n0099	n0114
n0100	n0424
n0100	n0510
n0101	n0171
n0101	n0381
n0102	n0182
n0102	n0778
n0103	n0377
n0103	n0721
n0103	n0817
n0104	n0172
n0105	n0785
n0106	n0154
n0107	n0470
n0108	n0146
n0108	n0532
n0109	n0096
n0110	n0261
n0111	n0636
n0111	n0782
n0112	n0268
n0112	n0310
n0112	n0503
n0112	n0683
n0113	n0636
n0113	n0829
n0114	n0843
n0115	n0665
n0116	n0404
n0116	n0446
n0116	n0573
n0116	n0717
n0117	n0262
n0117	n0582
n0118	n0529
n0118	n0564
n0119	n0671
n0119	n0802
n0119	n0809
n0120	n0234
n0121	n0230
n0121	n0406
n0122	n0701
n0123	n0509
n0124	n0170
n0125	n0242
n0125	n0338
n0125	n0555
n0126	n0669
n0126	n0757
n0127	n0324
n0127	n0585
n0128	n0098
n0129	n0777
n0129	n0842
n0130	n0292
n0130	n0516
n0131	n0187
n0132	n0345
n0132	n0380
