node	key	source	name	n_genes	inclusion	gene_support
n0000	go:GO:0006284	go	base-excision repair	48	1.0000	
n0000	go:GO:0006285	go	base-excision repair, AP site formation	12	1.0000	
n0000	go:GO:0006304	go	DNA modification	29	1.0000	
n0000	go:GO:0045008	go	depyrimidination	8	0.9625	
n0000	reactome:R-HSA-110328	reactome	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	41	1.0000	
n0000	reactome:R-HSA-73884	reactome	Base Excision Repair	71	1.0000	
n0000	reactome:R-HSA-73928	reactome	Depyrimidination	41	1.0000	
n0000	reactome:R-HSA-73929	reactome	Base-Excision Repair, AP Site Formation	43	1.0000	
n0001	reactome:R-HSA-9669934	reactome	Sunitinib-resistant KIT mutants	1	1.0000	
n0001	reactome:R-HSA-9674401	reactome	Sunitinib-resistant PDGFR mutants	1	0.9750	
n0001	reactome:R-HSA-9702518	reactome	STAT5 activation downstream of FLT3 ITD mutants	10	0.5060	
n0001	reactome:R-HSA-9702569	reactome	KW2449-resistant FLT3 mutants	1	1.0000	
n0001	reactome:R-HSA-9702590	reactome	gilteritinib-resistant FLT3 mutants	1	1.0000	
n0001	reactome:R-HSA-9702624	reactome	sorafenib-resistant FLT3 mutants	1	1.0000	
n0001	reactome:R-HSA-9702632	reactome	sunitinib-resistant FLT3 mutants	1	1.0000	
n0002	go:GO:0075525	go	viral translational termination-reinitiation	5	1.0000	
n0002	reactome:R-HSA-168268	reactome	Virus Assembly and Release	2	0.9524	
n0002	reactome:R-HSA-168273	reactome	Influenza Viral RNA Transcription and Replication	137	1.0000	
n0002	reactome:R-HSA-168333	reactome	NEP/NS2 Interacts with the Cellular Export Machinery	32	0.8462	
n0002	reactome:R-HSA-192823	reactome	Viral mRNA Translation	90	1.0000	
n0002	reactome:R-HSA-9820962	reactome	Assembly and release of respiratory syncytial virus (RSV) virions	2	1.0000	
n0002	reactome:R-HSA-9820965	reactome	Respiratory syncytial virus (RSV) genome replication, transcription and translation	17	1.0000	
n0003	go:GO:0061337	go	cardiac conduction	99	1.0000	
n0003	go:GO:0086066	go	atrial cardiac muscle cell to AV node cell communication	19	1.0000	
n0003	go:GO:0086067	go	AV node cell to bundle of His cell communication	14	1.0000	
n0003	go:GO:0086069	go	bundle of His cell to Purkinje myocyte communication	15	1.0000	
n0003	go:GO:0086091	go	regulation of heart rate by cardiac conduction	43	1.0000	
n0003	go:GO:0098901	go	regulation of cardiac muscle cell action potential	31	0.9868	
n0003	reactome:R-HSA-5576891	reactome	Cardiac conduction	130	0.7778	
n0004	go:GO:0010901	go	regulation of very-low-density lipoprotein particle remodeling	8	0.9737	
n0004	go:GO:0034370	go	triglyceride-rich lipoprotein particle remodeling	16	1.0000	
n0004	go:GO:0034371	go	chylomicron remodeling	7	1.0000	
n0004	go:GO:0071830	go	triglyceride-rich lipoprotein particle clearance	8	1.0000	
n0004	reactome:R-HSA-8963889	reactome	Assembly of active LPL and LIPC lipase complexes	19	1.0000	
n0004	reactome:R-HSA-8963899	reactome	Plasma lipoprotein remodeling	34	0.9750	
n0004	reactome:R-HSA-8963901	reactome	Chylomicron remodeling	10	1.0000	
n0005	go:GO:0034196	go	acylglycerol transport	8	1.0000	
n0005	go:GO:0034378	go	chylomicron assembly	6	1.0000	
n0005	go:GO:0034379	go	very-low-density lipoprotein particle assembly	12	0.9857	
n0005	go:GO:0044872	go	lipoprotein localization	29	1.0000	
n0005	reactome:R-HSA-192456	reactome	Digestion of dietary lipid	7	0.2222	
n0005	reactome:R-HSA-8963888	reactome	Chylomicron assembly	10	1.0000	
n0006	go:GO:0034104	go	negative regulation of tissue remodeling	25	0.9012	
n0006	go:GO:0034239	go	regulation of macrophage fusion	5	0.6098	
n0006	go:GO:0045671	go	negative regulation of osteoclast differentiation	33	1.0000	
n0006	go:GO:0046851	go	negative regulation of bone remodeling	20	0.9367	
n0006	go:GO:0072675	go	osteoclast fusion	6	0.9189	
n0006	go:GO:0090289	go	regulation of osteoclast proliferation	7	1.0000	
n0007	go:GO:0033147	go	negative regulation of intracellular estrogen receptor signaling pathway	15	0.3077	
n0007	go:GO:0033598	go	mammary gland epithelial cell proliferation	26	1.0000	
n0007	go:GO:0033601	go	positive regulation of mammary gland epithelial cell proliferation	6	0.9872	
n0007	go:GO:0042695	go	thelarche	5	1.0000	
n0007	go:GO:0060444	go	branching involved in mammary gland duct morphogenesis	25	0.9630	
n0007	go:GO:0060749	go	mammary gland alveolus development	20	1.0000	
n0008	go:GO:0030239	go	myofibril assembly	76	0.9726	
n0008	go:GO:0030240	go	skeletal muscle thin filament assembly	6	1.0000	
n0008	go:GO:0031033	go	myosin filament organization	5	1.0000	
n0008	go:GO:0033275	go	actin-myosin filament sliding	19	0.9394	
n0008	go:GO:0051694	go	pointed-end actin filament capping	7	0.9733	
n0008	reactome:R-HSA-390522	reactome	Striated Muscle Contraction	36	1.0000	
n0009	go:GO:0008627	go	intrinsic apoptotic signaling pathway in response to osmotic stress	10	0.9881	
n0009	go:GO:0009651	go	response to salt stress	21	1.0000	
n0009	go:GO:0032847	go	obsolete regulation of cellular pH reduction	6	0.9867	
n0009	go:GO:0071474	go	cellular hyperosmotic response	21	1.0000	
n0009	go:GO:1902075	go	cellular response to salt	6	0.9867	
n0009	go:GO:1904045	go	cellular response to aldosterone	7	0.9867	
n0010	go:GO:0007340	go	acrosome reaction	43	1.0000	
