node	size	support	parents	children	n_genes	label	provisional
n0000	8	1.0000	n0193 n0208 n0719	n0028	107		true
n0001	7	1.0000	n0198	n0032	12		true
n0002	7	0.9900	n0204 n0621		161		true
n0003	7	0.9900	n0186 n0337		185		true
n0004	7	1.0000	n0167 n0558 n0648		38		true
n0005	6	0.9600	n0648	n0060	57		true
n0006	6	0.9500	n0431 n0610 n0768		63		true
n0007	6	0.9400	n0618		67		true
n0008	6	0.9400	n0706 n0712		101		true
n0009	6	0.9700	n0243		56		true
n0010	6	0.9400	n0114 n0184 n0458 n0658		252		true
n0011	6	0.9900	n0226	n0062	469		true
n0012	6	0.9500	n0349		103		true
n0013	6	0.9899	n0103 n0288		412		true
n0014	6	0.9900	n0600		130		true
n0015	6	1.0000	n0711 n0792	n0065	101		true
n0016	6	0.9900	n0090 n0253 n0500 n0748		100		true
n0017	5	1.0000	n0431 n0563 n0610		19		true
n0018	5	1.0000	n0343 n0403 n0793		76		true
n0019	5	0.9200	n0090 n0500 n0748		246		true
n0020	5	0.9300	n0690		40		true
n0021	5	0.9394	n0467		154		true
n0022	5	0.9400	n0151 n0685		196		true
n0023	5	0.9900	n0205		716		true
n0024	5	0.8878	n0518 n0582 n0693		142		true
n0025	5	0.9900	n0685 n0803 n0804 n0840		362		true
n0026	5	0.8900	n0385 n0686		419		true
n0027	5	0.9700	n0378		34		true
n0028	5	0.9896	n0000		62		true
n0029	5	0.9400	n0361		108		true
n0030	5	0.9800	n0384 n0801		1468		true
n0031	5	1.0000	n0118 n0560 n0840		307		true
n0032	4	1.0000	n0001		1		true
n0033	4	0.9891	n0101		6		true
n0034	4	0.9800	n0210 n0213		369		true
n0035	4	0.9592	n0165		143		true
n0036	4	0.9300	n0658		42		true
n0037	4	1.0000	n0424		27		true
n0038	4	0.9200	n0175		113		true
n0039	4	0.9400	n0672 n0832		39		true
n0040	4	0.9798	n0256 n0655 n0670		351		true
n0041	4	0.9400	n0466 n0531		282		true
n0042	4	0.9479	n0238 n0279		36		true
n0043	4	0.9600	n0248 n0632		99		true
n0044	4	0.9192	n0561 n0658		153		true
n0045	4	0.9149	n0412		2071		true
n0046	4	0.9697	n0478 n0599		267		true
n0047	4	0.9293	n0311 n0534 n0736 n0803		48		true
n0048	4	0.9286	n0136		33		true
n0049	4	0.9700	n0551 n0657		921		true
n0050	4	0.9100	n0449		128		true
