child	parent
n0000	n0738
n0001	n0340
n0001	n0637
n0002	n0032
n0003	n0197
n0003	n0449
n0004	n0582
n0004	n0698
n0005	n0304
n0006	n0582
n0007	n0654
n0007	n0693
n0008	n0005
n0009	n0214
n0010	n0106
n0010	n0482
n0011	n0182
n0011	n0343
n0012	n0322
n0012	n0787
n0013	n0523
n0014	n0334
n0015	n0234
n0015	n0755
n0016	n0157
n0017	n0571
n0017	n0710
n0018	n0617
n0019	n0408
n0019	n0798
n0020	n0058
n0021	n0014
n0022	n0506
n0023	n0008
n0024	n0108
n0024	n0518
n0025	n0102
n0026	n0098
n0027	n0042
n0028	n0114
n0029	n0145
n0030	n0017
n0031	n0547
n0031	n0753
n0032	n0232
n0032	n0796
n0033	n0567
n0034	n0513
n0034	n0555
n0035	n0437
n0036	n0537
n0036	n0603
n0037	n0224
n0037	n0405
n0038	n0309
n0038	n0789
n0039	n0091
n0039	n0292
n0040	n0526
n0040	n0679
n0040	n0683
n0041	n0006
n0042	n0280
n0043	n0668
n0044	n0381
n0044	n0712
n0045	n0211
n0046	n0596
n0046	n0674
n0047	n0092
n0047	n0468
n0048	n0010
n0049	n0013
n0050	n0009
n0051	n0037
n0052	n0031
n0053	n0033
n0054	n0522
n0054	n0635
n0054	n0697
n0055	n0273
n0056	n0514
n0056	n0690
n0057	n0250
n0057	n0683
n0058	n0391
n0058	n0666
n0059	n0323
n0059	n0573
n0060	n0407
n0060	n0691
n0061	n0717
n0061	n0718
n0062	n0417
n0062	n0775
n0063	n0210
n0063	n0244
n0064	n0148
n0065	n0575
n0065	n0589
n0066	n0263
n0066	n0540
n0066	n0629
n0067	n0149
n0067	n0762
n0068	n0094
n0068	n0551
n0069	n0690
n0070	n0798
n0071	n0305
n0071	n0585
n0072	n0762
n0073	n0105
n0074	n0469
n0074	n0677
n0075	n0524
n0076	n0366
n0076	n0787
n0077	n0320
n0077	n0354
n0077	n0587
n0078	n0702
n0078	n0747
n0079	n0189
n0080	n0345
n0080	n0638
n0081	n0585
n0082	n0440
n0082	n0483
n0083	n0036
n0084	n0095
n0084	n0429
n0085	n0644
n0086	n0682
n0087	n0156
n0088	n0395
n0089	n0369
n0090	n0087
n0091	n0492
n0092	n0580
n0092	n0584
n0093	n0471
n0094	n0346
n0094	n0600
n0094	n0606
n0095	n0004
n0096	n0634
n0096	n0700
n0096	n0719
n0097	n0325
n0098	n0438
n0098	n0779
n0098	n0805
n0099	n0093
n0099	n0357
n0100	n0266
n0100	n0621
n0101	n0372
n0101	n0648
n0102	n0183
n0102	n0718
n0103	n0161
n0104	n0214
n0104	n0624
n0105	n0743
n0106	n0070
n0107	n0002
n0107	n0318
n0108	n0468
n0108	n0792
n0109	n0209
n0109	n0528
n0110	n0403
n0110	n0639
n0111	n0556
n0111	n0596
n0112	n0554
n0113	n0268
n0113	n0547
n0113	n0552
n0114	n0054
n0114	n0508
n0115	n0426
n0116	n0267
n0117	n0212
n0117	n0577
n0118	n0314
n0119	n0282
n0119	n0646
n0120	n0369
n0120	n0801
n0121	n0243
n0121	n0245
n0122	n0643
n0123	n0626
n0123	n0674
n0124	n0208
n0124	n0722
n0125	n0627
n0126	n0596
n0127	n0409
n0128	n0231
n0128	n0806
n0129	n0626
n0130	n0697
n0130	n0744
n0131	n0057
n0131	n0527
n0132	n0274
n0132	n0762
n0133	n0032
n0134	n0344
n0135	n0123
n0136	n0012
n0137	n0295
n0138	n0777
n0138	n0803
n0139	n0455
n0139	n0523
n0140	n0588
n0141	n0454
n0141	n0595
n0142	n0011
n0142	n0610
n0143	n0466
n0144	n0188
n0145	n0240
n0146	n0279
n0147	n0730
n0147	n0780
n0148	n0324
n0148	n0405
n0149	n0125
n0149	n0617
n0150	n0474
n0150	n0723
n0151	n0806
n0152	n0762
n0153	n0218
n0153	n0630
n0154	n0076
n0155	n0501
n0155	n0635
n0156	n0520
n0157	n0367
n0158	n0319
n0158	n0732
n0159	n0003
n0160	n0549
n0160	n0635
n0160	n0754
n0161	n0658
n0162	n0461
n0162	n0756
n0163	n0073
n0163	n0397
n0164	n0515
n0164	n0561
n0165	n0034
n0165	n0712
n0166	n0181
n0166	n0504
n0167	n0310
n0167	n0458
n0168	n0227
n0169	n0654
n0169	n0762
n0170	n0495
n0171	n0316
n0172	n0769
n0173	n0202
n0174	n0318
n0175	n0283
n0176	n0515
n0177	n0056
n0178	n0603
n0179	n0053
n0180	n0378
n0181	n0233
n0182	n0436
n0183	n0546
n0183	n0797
n0184	n0241
n0184	n0604
n0185	n0705
n0185	n0807
n0186	n0319
n0187	n0107
n0187	n0463
n0188	n0379
n0188	n0763
n0189	n0388
n0190	n0675
n0190	n0778
n0191	n0202
n0192	n0530
n0193	n0189
n0193	n0226
n0194	n0525
n0194	n0655
n0195	n0264
n0195	n0529
n0196	n0599
n0196	n0604
n0196	n0703
n0197	n0649
n0198	n0625
n0199	n0355
n0199	n0618
n0199	n0631
n0200	n0516
n0200	n0553
n0200	n0790
n0201	n0076
n0202	n0770
n0203	n0460
n0204	n0550
n0204	n0712
n0205	n0687
n0205	n0805
n0206	n0408
n0206	n0497
n0206	n0506
n0207	n0008
n0208	n0001
n0209	n0614
n0210	n0657
n0211	n0172
n0212	n0616
n0212	n0788
n0213	n0235
n0213	n0496
n0214	n0249
n0215	n0596
n0216	n0625
n0217	n0667
n0217	n0729
n0218	n0481
n0218	n0781
n0219	n0055
n0220	n0107
n0221	n0364
n0221	n0453
n0222	n0510
n0223	n0533
n0224	n0466
n0224	n0661
n0225	n0396
n0226	n0388
n0226	n0794
n0227	n0559
n0227	n0734
n0228	n0424
n0228	n0472
n0229	n0341
n0230	n0403
n0230	n0709
n0231	n0752
n0232	n0762
n0233	n0634
n0233	n0693
n0234	n0687
n0235	n0762
n0235	n0773
n0236	n0596
n0237	n0035
n0238	n0764
n0239	n0155
n0240	n0403
n0241	n0500
n0242	n0493
n0243	n0071
n0244	n0657
n0244	n0804
n0245	n0071
n0246	n0321
n0246	n0789
n0247	n0396
n0248	n0539
n0249	n0487
n0250	n0566
n0251	n0242
n0251	n0608
n0251	n0639
n0252	n0763
n0252	n0771
n0253	n0333
n0254	n0294
n0254	n0390
n0255	n0410
n0256	n0616
n0256	n0788
n0257	n0762
n0258	n0647
n0258	n0752
n0259	n0392
n0260	n0072
n0261	n0737
n0262	n0376
n0262	n0519
n0263	n0144
n0264	n0721
n0265	n0558
n0266	n0074
n0266	n0678
n0267	n0600
n0267	n0620
n0268	n0447
n0268	n0535
n0268	n0676
n0269	n0763
n0270	n0403
n0270	n0659
n0271	n0720
n0272	n0751
n0273	n0520
n0275	n0586
n0276	n0144
n0276	n0452
n0277	n0415
n0278	n0459
n0279	n0290
n0280	n0727
n0281	n0720
n0282	n0378
n0283	n0560
n0284	n0281
n0284	n0731
n0285	n0562
n0286	n0411
n0287	n0173
n0288	n0596
n0289	n0762
n0290	n0638
n0291	n0489
n0292	n0387
n0292	n0652
n0293	n0033
n0294	n0769
n0295	n0289
n0295	n0663
n0296	n0596
n0297	n0471
n0297	n0728
n0298	n0661
n0299	n0452
n0299	n0590
n0300	n0217
n0300	n0439
n0301	n0279
n0301	n0358
n0302	n0353
n0303	n0477
n0304	n0262
n0304	n0465
n0305	n0377
n0306	n0403
n0307	n0230
n0308	n0490
n0309	n0307
n0310	n0003
n0311	n0145
n0312	n0574
n0313	n0162
n0314	n0090
n0314	n0495
n0315	n0445
n0316	n0403
n0317	n0531
n0318	n0232
n0319	n0480
n0320	n0303
n0320	n0725
n0321	n0768
n0322	n0261
n0323	n0000
n0324	n0143
n0324	n0726
n0325	n0403
n0326	n0088
n0327	n0596
n0328	n0703
n0329	n0204
n0330	n0551
n0331	n0075
n0332	n0317
n0333	n0750
n0334	n0089
n0335	n0072
n0336	n0392
n0337	n0376
n0337	n0762
n0338	n0541
n0339	n0204
n0339	n0439
n0340	n0434
n0341	n0673
n0342	n0602
n0343	n0436
n0343	n0601
n0344	n0180
n0345	n0512
n0346	n0786
n0347	n0614
n0347	n0615
n0348	n0762
n0348	n0781
n0349	n0223
n0349	n0761
n0350	n0308
n0351	n0075
n0351	n0701
n0352	n0288
n0353	n0758
n0354	n0680
n0355	n0762
n0356	n0655
n0356	n0688
n0357	n0403
n0358	n0290
n0359	n0675
n0359	n0778
n0360	n0605
n0361	n0580
n0361	n0745
n0362	n0642
n0363	n0342
n0364	n0645
n0364	n0663
n0365	n0239
n0368	n0765
n0369	n0735
n0370	n0607
n0371	n0422
n0372	n0536
n0373	n0599
n0373	n0612
n0374	n0628
n0374	n0717
n0376	n0352
n0377	n0465
n0377	n0612
n0378	n0762
n0379	n0762
n0379	n0781
n0380	n0597
n0381	n0034
n0382	n0571
n0383	n0494
n0384	n0558
n0385	n0104
n0386	n0277
n0387	n0155
n0388	n0556
n0389	n0640
n0390	n0488
n0391	n0568
n0392	n0598
n0392	n0801
n0393	n0321
n0394	n0404
n0394	n0574
n0395	n0767
n0396	n0278
n0397	n0105
n0398	n0762
n0399	n0403
n0399	n0716
n0400	n0389
n0401	n0056
n0401	n0524
n0402	n0333
n0402	n0597
n0403	n0366
n0404	n0713
n0405	n0143
n0405	n0661
n0406	n0376
n0407	n0568
n0407	n0742
n0408	n0751
n0409	n0538
n0410	n0598
n0410	n0771
n0411	n0602
n0412	n0686
n0413	n0776
n0414	n0761
n0415	n0762
n0416	n0238
n0417	n0451
n0418	n0470
n0419	n0742
n0420	n0642
n0421	n0479
n0422	n0656
n0422	n0762
n0423	n0481
n0424	n0772
n0425	n0791
n0426	n0462
n0426	n0644
n0427	n0070
n0428	n0395
n0428	n0795
n0429	n0004
n0430	n0691
n0431	n0564
n0432	n0740
