node	key	source	name	n_genes	inclusion	gene_support
n0000	go:GO:0060993	go	kidney morphogenesis	98	1.0000	
n0000	go:GO:0061005	go	cell differentiation involved in kidney development	58	1.0000	
n0000	go:GO:0072006	go	nephron development	161	1.0000	
n0000	go:GO:0072017	go	distal tubule development	12	1.0000	
n0000	go:GO:0072025	go	distal convoluted tubule development	5	1.0000	
n0000	go:GO:0072044	go	collecting duct development	15	1.0000	
n0000	go:GO:0072047	go	proximal/distal pattern formation involved in nephron development	5	0.9028	
n0000	go:GO:0072173	go	metanephric tubule morphogenesis	10	1.0000	
n0000	go:GO:0072179	go	nephric duct formation	5	1.0000	
n0000	go:GO:0072189	go	ureter development	18	0.9429	
n0000	go:GO:0072202	go	obsolete cell differentiation involved in metanephros development	21	1.0000	
n0000	go:GO:0072205	go	metanephric collecting duct development	10	1.0000	
n0000	go:GO:0072243	go	metanephric nephron epithelium development	24	1.0000	
n0000	go:GO:0090192	go	regulation of glomerulus development	6	0.8987	
n0000	go:GO:1904673	go	negative regulation of somatic stem cell population maintenance	5	0.2055	
n0000	reactome:R-HSA-9831926	reactome	Nephron development	13	0.9867	
n0001	go:GO:0003007	go	heart morphogenesis	275	1.0000	
n0001	go:GO:0003151	go	outflow tract morphogenesis	85	1.0000	
n0001	go:GO:0003174	go	mitral valve development	14	1.0000	
n0001	go:GO:0003184	go	pulmonary valve morphogenesis	20	1.0000	
n0001	go:GO:0003190	go	atrioventricular valve formation	8	1.0000	
n0001	go:GO:0003206	go	cardiac chamber morphogenesis	132	1.0000	
n0001	go:GO:0003228	go	atrial cardiac muscle tissue development	23	1.0000	
n0001	go:GO:0003241	go	growth involved in heart morphogenesis	5	0.4179	
n0001	go:GO:0003281	go	ventricular septum development	77	1.0000	
n0001	go:GO:0003289	go	atrial septum primum morphogenesis	5	1.0000	
n0001	go:GO:0007507	go	heart development	631	1.0000	
n0001	go:GO:0060039	go	pericardium development	18	0.6515	
n0001	go:GO:0060412	go	ventricular septum morphogenesis	46	1.0000	
n0001	go:GO:0060977	go	coronary vasculature morphogenesis	17	0.5862	
n0001	go:GO:0072359	go	circulatory system development	1278	0.5345	
n0001	go:GO:2000826	go	regulation of heart morphogenesis	9	0.1538	
n0002	go:GO:0003006	go	developmental process involved in reproduction	1117	1.0000	
