node	size	support	parents	children	n_genes	label	provisional
n0000	16	1.0000	n0738	n0323 n0573 n0643	188		true
n0001	16	1.0000	n0340 n0637	n0208 n0570	1278		true
n0002	13	1.0000	n0032	n0107 n0463	1344		true
n0003	14	1.0000	n0197 n0449	n0159 n0310	1313		true
n0004	13	1.0000	n0582 n0698	n0095 n0429	362		true
n0005	12	1.0000	n0304	n0008	432		true
n0006	10	1.0000	n0582	n0041	66		true
n0007	9	1.0000	n0654 n0693		124		true
n0008	9	1.0000	n0005	n0023 n0207	432		true
n0009	8	1.0000	n0214	n0050	107		true
n0010	8	1.0000	n0106 n0482	n0048	2095		true
n0011	8	1.0000	n0182 n0343	n0142	131		true
n0012	8	1.0000	n0322 n0787	n0136	183		true
n0013	8	1.0000	n0523	n0049	354		true
n0014	7	1.0000	n0334	n0021	12		true
n0015	7	1.0000	n0234 n0755		38		true
n0016	7	1.0000	n0157		200		true
n0017	6	1.0000	n0571 n0710	n0030	101		true
n0018	5	1.0000	n0617		19		true
n0019	5	1.0000	n0408 n0798		76		true
n0020	5	1.0000	n0058		307		true
n0021	4	1.0000	n0014		1		true
n0022	4	1.0000	n0506		27		true
n0023	3	1.0000	n0008		150		true
n0024	3	1.0000	n0108 n0518		47		true
n0025	3	1.0000	n0102		60		true
n0026	3	1.0000	n0098		21		true
n0027	3	1.0000	n0042		451		true
n0028	3	1.0000	n0114		535		true
n0029	3	1.0000	n0145		31		true
n0030	3	1.0000	n0017		55		true
n0031	21	0.9900	n0547 n0753	n0052 n0569	532		true
n0032	19	0.9900	n0232 n0796	n0002 n0133	1438		true
n0033	18	0.9900	n0567	n0053 n0293	418		true
n0034	14	0.9900	n0513 n0555	n0165 n0381	313		true
n0035	10	0.9900	n0437	n0237 n0457	275		true
n0036	9	0.9900	n0537 n0603	n0083	169		true
n0037	8	0.9900	n0224 n0405	n0051	167		true
n0038	7	0.9900	n0309 n0789		161		true
n0039	7	0.9900	n0091 n0292		185		true
n0040	7	0.9900	n0526 n0679 n0683		848		true
n0041	6	0.9900	n0006		33		true
n0042	6	0.9900	n0280	n0027	469		true
n0043	6	0.9900	n0668		130		true
n0044	6	0.9900	n0381 n0712		100		true
n0045	5	0.9900	n0211		716		true
n0046	5	0.9900	n0596 n0674		362		true
n0047	6	0.9899	n0092 n0468		412		true
n0048	4	0.9898	n0010		1390		true
n0049	4	0.9898	n0013		311		true
n0050	5	0.9896	n0009		62		true
n0051	4	0.9891	n0037		6		true
n0052	18	0.9800	n0031	n0514	122		true
n0053	14	0.9800	n0033	n0179 n0747	370		true
n0054	11	0.9800	n0522 n0635 n0697	n0114 n0530	633		true
n0055	11	0.9800	n0273	n0219	974		true
n0056	10	0.9800	n0514 n0690	n0177 n0401	69		true
n0057	9	0.9800	n0250 n0683	n0131	503		true
n0058	8	0.9800	n0391 n0666	n0020	586		true
n0059	7	0.9800	n0323 n0573		183		true
n0060	7	0.9800	n0407 n0691		60		true
n0061	6	0.9800	n0717 n0718		251		true
n0062	5	0.9800	n0417 n0775		1468		true
n0063	4	0.9800	n0210 n0244		369		true
n0064	4	0.9800	n0148		824		true
n0065	4	0.9798	n0575 n0589		234		true
n0066	4	0.9798	n0263 n0540 n0629		351		true
n0067	3	0.9798	n0149 n0762		33		true
n0068	4	0.9792	n0094 n0551		450		true
n0069	3	0.9767	n0690		502		true
n0070	18	0.9700	n0798	n0106 n0427 n0482	2110		true
n0071	12	0.9700	n0305 n0585	n0243 n0245	144		true
n0072	10	0.9700	n0762	n0260 n0335	428		true
n0073	10	0.9700	n0105	n0163	1773		true
n0074	10	0.9700	n0469 n0677	n0266	125		true
n0075	10	0.9700	n0524	n0331 n0351	69		true
n0076	9	0.9700	n0366 n0787	n0154 n0201	149		true
n0077	7	0.9700	n0320 n0354 n0587		198		true
n0078	7	0.9700	n0702 n0747		315		true
n0079	6	0.9700	n0189		56		true
n0080	6	0.9700	n0345 n0638		180		true
n0081	5	0.9700	n0585		34		true
n0082	4	0.9700	n0440 n0483		921		true
n0083	4	0.9700	n0036		64		true
n0084	4	0.9700	n0095 n0429		352		true
