child	parent
n0000	n0733
n0001	n0476
n0001	n0851
n0002	n0338
n0003	n0282
n0003	n0663
n0004	n0749
n0005	n0053
n0005	n0237
n0005	n0717
n0006	n0345
n0007	n0576
n0008	n0226
n0009	n0845
n0010	n0196
n0010	n0400
n0011	n0669
n0012	n0056
n0013	n0446
n0014	n0626
n0015	n0648
n0015	n0723
n0016	n0578
n0017	n0227
n0018	n0410
n0018	n0735
n0019	n0627
n0019	n0767
n0020	n0034
n0020	n0830
n0021	n0313
n0021	n0507
n0022	n0038
n0023	n0014
n0024	n0036
n0025	n0275
n0026	n0232
n0027	n0090
n0028	n0019
n0029	n0123
n0030	n0067
n0031	n0046
n0032	n0173
n0032	n0503
n0033	n0043
n0034	n0660
n0034	n0785
n0035	n0424
n0035	n0766
n0036	n0273
n0036	n0699
n0037	n0543
n0037	n0678
n0038	n0146
n0038	n0759
n0039	n0128
n0039	n0725
n0040	n0169
n0041	n0689
n0042	n0701
n0042	n0771
n0042	n0810
n0043	n0610
n0044	n0633
n0044	n0672
n0045	n0107
n0046	n0037
n0047	n0777
n0048	n0066
n0049	n0499
n0049	n0817
n0050	n0642
n0051	n0042
n0052	n0404
n0053	n0475
n0053	n0832
n0054	n0120
n0055	n0731
n0056	n0225
n0057	n0054
n0057	n0753
n0058	n0544
n0058	n0646
n0058	n0649
n0059	n0004
n0059	n0766
n0060	n0237
n0061	n0321
n0061	n0330
n0061	n0628
n0062	n0491
n0063	n0467
n0063	n0667
n0063	n0829
n0064	n0486
n0064	n0698
n0065	n0288
n0066	n0057
n0067	n0289
n0068	n0198
n0068	n0615
n0069	n0152
n0070	n0162
n0071	n0202
n0072	n0109
n0073	n0441
n0074	n0199
n0074	n0384
n0075	n0490
n0075	n0697
n0076	n0201
n0077	n0336
n0078	n0798
n0079	n0086
n0079	n0819
n0080	n0613
n0081	n0012
n0081	n0791
n0082	n0407
n0082	n0650
n0083	n0489
n0083	n0826
n0084	n0389
n0084	n0603
n0085	n0576
n0085	n0631
n0085	n0869
n0086	n0008
n0087	n0736
n0087	n0807
n0088	n0513
n0088	n0606
n0089	n0525
n0090	n0478
n0090	n0543
n0090	n0844
n0091	n0627
n0091	n0700
n0091	n0755
n0092	n0489
n0092	n0845
n0093	n0015
n0094	n0502
n0094	n0578
n0095	n0352
n0095	n0480
n0096	n0691
n0097	n0039
n0098	n0016
n0099	n0299
n0100	n0063
n0101	n0499
n0101	n0532
n0102	n0711
n0103	n0838
n0104	n0282
n0104	n0663
n0105	n0845
n0106	n0327
n0106	n0514
n0106	n0684
n0107	n0686
n0108	n0792
n0109	n0452
n0109	n0545
n0110	n0252
n0111	n0674
n0111	n0793
n0111	n0869
n0112	n0366
n0113	n0338
n0113	n0617
n0114	n0866
n0115	n0083
n0116	n0131
n0117	n0660
n0118	n0286
n0118	n0845
n0119	n0180
n0119	n0693
n0120	n0144
n0121	n0435
n0121	n0464
n0122	n0261
n0123	n0011
n0124	n0460
n0125	n0295
n0126	n0395
n0127	n0675
n0127	n0854
n0128	n0002
n0129	n0625
n0130	n0102
n0131	n0591
n0132	n0312
n0132	n0447
n0132	n0641
n0133	n0418
n0133	n0700
n0134	n0340
n0135	n0150
n0135	n0525
n0136	n0590
n0137	n0200
n0138	n0575
n0139	n0203
n0140	n0034
n0141	n0171
n0141	n0423
n0142	n0068
n0144	n0711
n0145	n0317
n0146	n0556
n0147	n0328
n0147	n0406
n0147	n0613
n0148	n0839
n0149	n0260
n0149	n0685
n0150	n0320
n0151	n0605
n0151	n0721
n0152	n0570
n0152	n0602
n0153	n0147
n0153	n0515
n0154	n0751
n0155	n0322
n0155	n0630
n0156	n0149
n0156	n0494
n0157	n0371
n0157	n0656
n0158	n0230
n0158	n0420
n0158	n0501
n0159	n0409
n0160	n0802
n0161	n0561
n0161	n0706
n0162	n0009
n0162	n0461
n0163	n0302
n0164	n0103
n0164	n0608
n0165	n0394
n0165	n0553
n0166	n0292
n0166	n0777
n0167	n0062
n0168	n0864
n0169	n0541
n0170	n0751
n0171	n0735
n0172	n0447
n0172	n0773
n0173	n0058
n0173	n0632
n0174	n0341
n0174	n0510
n0174	n0871
n0175	n0641
n0175	n0703
n0176	n0538
n0177	n0609
n0177	n0654
n0178	n0645
n0178	n0759
n0179	n0195
n0180	n0121
n0181	n0339
n0182	n0592
n0183	n0368
n0184	n0399
n0184	n0629
n0185	n0351
n0185	n0742
n0185	n0828
n0186	n0629
n0186	n0722
n0187	n0171
n0188	n0533
n0188	n0755
n0189	n0581
n0189	n0771
n0190	n0393
n0190	n0729
n0192	n0433
n0193	n0128
n0193	n0300
n0194	n0266
n0195	n0528
n0196	n0000
n0197	n0196
n0198	n0101
n0199	n0005
n0199	n0366
n0199	n0736
n0200	n0379
n0201	n0448
n0201	n0840
n0202	n0409
n0203	n0651
n0203	n0845
n0204	n0616
n0205	n0230
n0206	n0229
n0206	n0865
n0207	n0495
n0207	n0621
n0208	n0334
n0209	n0664
n0209	n0677
n0210	n0707
n0211	n0503
n0211	n0620
n0212	n0246
n0213	n0314
n0213	n0461
n0214	n0652
n0215	n0349
n0216	n0239
n0216	n0546
n0216	n0758
n0217	n0082
n0218	n0571
n0218	n0690
n0218	n0741
n0219	n0598
n0220	n0216
n0220	n0699
n0221	n0644
n0221	n0753
n0221	n0797
n0222	n0253
n0222	n0646
n0223	n0552
n0223	n0655
n0224	n0360
n0224	n0845
n0225	n0145
n0225	n0622
n0226	n0849
n0227	n0854
n0228	n0488
n0228	n0754
n0229	n0803
n0230	n0331
n0231	n0450
n0232	n0648
n0232	n0739
n0233	n0342
n0233	n0439
n0234	n0058
n0234	n0809
n0235	n0383
n0236	n0278
n0236	n0461
n0237	n0832
n0238	n0337
n0239	n0238
n0240	n0379
n0241	n0506
n0242	n0145
n0243	n0623
n0244	n0837
n0245	n0470
n0245	n0815
n0246	n0323
n0247	n0617
n0248	n0568
n0249	n0013
n0250	n0110
n0251	n0445
n0252	n0399
n0252	n0651
n0253	n0517
n0253	n0809
n0253	n0814
n0254	n0559
n0255	n0147
n0256	n0383
n0257	n0347
n0258	n0493
n0258	n0683
n0258	n0810
n0259	n0497
n0261	n0286
n0262	n0784
n0262	n0848
n0263	n0811
n0264	n0509
n0265	n0579
n0266	n0618
n0266	n0840
n0267	n0522
n0267	n0533
n0268	n0330
n0268	n0375
n0268	n0760
n0269	n0083
n0270	n0362
n0270	n0402
n0271	n0747
n0272	n0379
n0273	n0238
n0274	n0240
n0275	n0298
n0276	n0664
n0276	n0841
n0278	n0589
n0279	n0560
n0279	n0827
n0280	n0329
n0281	n0492
n0281	n0594
n0282	n0832
n0283	n0179
n0283	n0584
n0284	n0806
n0285	n0271
n0286	n0423
n0287	n0604
n0288	n0770
n0290	n0262
n0290	n0548
n0290	n0590
n0291	n0468
n0291	n0643
n0292	n0425
n0292	n0816
n0293	n0263
n0293	n0457
n0294	n0728
n0295	n0006
n0295	n0845
n0296	n0379
n0298	n0344
n0299	n0306
n0300	n0812
n0301	n0003
n0301	n0104
n0302	n0103
n0303	n0479
n0303	n0612
n0304	n0129
n0306	n0504
n0307	n0636
n0307	n0834
n0308	n0379
n0309	n0007
n0310	n0492
n0311	n0369
n0312	n0524
n0313	n0390
n0314	n0845
n0315	n0411
n0315	n0457
n0316	n0305
n0316	n0702
n0317	n0569
n0318	n0586
n0319	n0542
n0320	n0513
n0321	n0853
n0322	n0350
n0323	n0379
n0323	n0794
n0323	n0872
n0324	n0321
n0324	n0721
n0325	n0571
n0325	n0741
n0326	n0678
n0326	n0864
n0327	n0600
n0328	n0465
n0329	n0319
n0330	n0638
n0331	n0241
n0332	n0285
n0333	n0676
n0334	n0738
n0335	n0329
n0335	n0579
n0336	n0106
n0336	n0727
n0337	n0786
n0339	n0443
n0340	n0845
n0342	n0426
n0343	n0607
n0344	n0359
n0345	n0680
n0346	n0788
n0347	n0845
n0348	n0584
n0348	n0820
n0349	n0405
n0350	n0530
n0351	n0858
n0351	n0861
n0352	n0307
n0353	n0010
n0354	n0749
n0355	n0580
n0355	n0804
n0356	n0429
n0356	n0671
n0356	n0761
n0356	n0813
n0357	n0529
n0358	n0179
n0358	n0584
n0359	n0403
n0360	n0379
n0361	n0388
n0362	n0004
n0363	n0825
n0364	n0382
n0365	n0169
n0366	n0053
n0367	n0614
n0368	n0360
n0369	n0670
n0370	n0006
n0371	n0130
n0372	n0842
n0373	n0361
n0374	n0105
n0375	n0379
n0376	n0035
n0377	n0240
n0378	n0010
n0378	n0642
n0379	n0423
n0380	n0750
n0382	n0487
n0382	n0768
n0383	n0461
n0384	n0005
n0385	n0344
n0385	n0508
n0385	n0524
n0386	n0390
n0387	n0423
n0387	n0635
n0388	n0845
n0389	n0001
n0390	n0845
n0391	n0845
n0392	n0197
n0392	n0624
n0393	n0243
n0394	n0260
n0395	n0438
n0396	n0673
n0396	n0757
n0397	n0263
n0398	n0772
n0399	n0787
n0400	n0000
n0401	n0722
n0402	n0059
n0403	n0168
n0404	n0646
n0405	n0845
n0406	n0465
n0407	n0587
n0408	n0523
