node	key	source	name	n_genes	inclusion	gene_support
n0000	go:GO:0009117	go	nucleotide metabolic process	501	1.0000	
n0000	go:GO:0009119	go	ribonucleoside metabolic process	24	1.0000	
n0000	go:GO:0009130	go	pyrimidine nucleoside monophosphate biosynthetic process	16	1.0000	
n0000	go:GO:0009143	go	nucleoside triphosphate catabolic process	14	1.0000	
n0000	go:GO:0009156	go	ribonucleoside monophosphate biosynthetic process	35	1.0000	
n0000	go:GO:0009159	go	deoxyribonucleoside monophosphate catabolic process	17	1.0000	
n0000	go:GO:0009176	go	pyrimidine deoxyribonucleoside monophosphate metabolic process	13	1.0000	
n0000	go:GO:0009211	go	pyrimidine deoxyribonucleoside triphosphate metabolic process	7	1.0000	
n0000	go:GO:0009262	go	deoxyribonucleotide metabolic process	47	1.0000	
n0000	go:GO:0019693	go	ribose phosphate metabolic process	389	1.0000	
n0000	go:GO:0043173	go	nucleotide salvage	26	1.0000	
n0000	go:GO:0046054	go	dGMP metabolic process	8	1.0000	
n0000	go:GO:0046122	go	purine deoxyribonucleoside metabolic process	5	1.0000	
n0000	go:GO:0046130	go	purine ribonucleoside catabolic process	6	1.0000	
n0000	go:GO:1901659	go	glycosyl compound biosynthetic process	25	1.0000	
n0000	reactome:R-HSA-156581	reactome	Methylation	14	0.1974	
n0000	reactome:R-HSA-2393930	reactome	Phosphate bond hydrolysis by NUDT proteins	7	1.0000	
n0000	reactome:R-HSA-5578995	reactome	Defective TPMT causes TPMT deficiency	1	0.3671	
n0000	reactome:R-HSA-8956319	reactome	Nucleotide catabolism	35	1.0000	
n0000	reactome:R-HSA-8956321	reactome	Nucleotide salvage	23	1.0000	
n0000	reactome:R-HSA-9734195	reactome	Defective APRT disrupts adenine salvage	1	1.0000	
n0000	reactome:R-HSA-9735804	reactome	Diseases of nucleotide metabolism	4	1.0000	
n0000	reactome:R-HSA-9755088	reactome	Ribavirin ADME	11	0.6625	
n0001	go:GO:0003007	go	heart morphogenesis	275	1.0000	
n0001	go:GO:0003151	go	outflow tract morphogenesis	85	1.0000	
n0001	go:GO:0003174	go	mitral valve development	14	1.0000	
n0001	go:GO:0003184	go	pulmonary valve morphogenesis	20	1.0000	
n0001	go:GO:0003190	go	atrioventricular valve formation	8	1.0000	
n0001	go:GO:0003206	go	cardiac chamber morphogenesis	132	1.0000	
n0001	go:GO:0003228	go	atrial cardiac muscle tissue development	23	1.0000	
n0001	go:GO:0003241	go	growth involved in heart morphogenesis	5	0.5946	
n0001	go:GO:0003281	go	ventricular septum development	77	1.0000	
n0001	go:GO:0003289	go	atrial septum primum morphogenesis	5	1.0000	
n0001	go:GO:0007507	go	heart development	631	1.0000	
n0001	go:GO:0060039	go	pericardium development	18	0.6901	
n0001	go:GO:0060412	go	ventricular septum morphogenesis	46	1.0000	
n0001	go:GO:0060977	go	coronary vasculature morphogenesis	17	0.5806	
n0001	go:GO:0072359	go	circulatory system development	1278	0.5970	
n0001	go:GO:1905207	go	regulation of cardiocyte differentiation	33	0.2500	
n0001	go:GO:2000826	go	regulation of heart morphogenesis	9	0.7260	
n0002	go:GO:0060993	go	kidney morphogenesis	98	0.9882	
n0002	go:GO:0061005	go	cell differentiation involved in kidney development	58	1.0000	
n0002	go:GO:0072006	go	nephron development	161	0.9872	
n0002	go:GO:0072017	go	distal tubule development	12	1.0000	
n0002	go:GO:0072025	go	distal convoluted tubule development	5	0.9747	
n0002	go:GO:0072044	go	collecting duct development	15	1.0000	
n0002	go:GO:0072047	go	proximal/distal pattern formation involved in nephron development	5	1.0000	
n0002	go:GO:0072173	go	metanephric tubule morphogenesis	10	1.0000	
n0002	go:GO:0072179	go	nephric duct formation	5	1.0000	
n0002	go:GO:0072189	go	ureter development	18	0.9178	
n0002	go:GO:0072202	go	obsolete cell differentiation involved in metanephros development	21	1.0000	
n0002	go:GO:0072205	go	metanephric collecting duct development	10	1.0000	
n0002	go:GO:0072243	go	metanephric nephron epithelium development	24	1.0000	
n0002	go:GO:0090192	go	regulation of glomerulus development	6	0.8889	
n0002	reactome:R-HSA-9831926	reactome	Nephron development	13	0.9873	
n0003	btm:M240	btm	chromosome Y linked	16	0.9677	
n0003	go:GO:0006325	go	chromatin organization	920	1.0000	
