node	size	support	parents	children	n_genes	label	provisional
n0000	23	1.0000	n0733	n0196 n0400	545		true
n0001	17	1.0000	n0476 n0851	n0389 n0603	1278		true
n0002	15	1.0000	n0338	n0128 n0725 n0812	187		true
n0003	14	1.0000	n0282 n0663	n0301 n0792	1313		true
n0004	13	1.0000	n0749	n0059 n0362	1764		true
n0005	12	1.0000	n0053 n0237 n0717	n0199 n0384	1342		true
n0006	13	1.0000	n0345	n0295 n0370	2889		true
n0007	11	1.0000	n0576	n0309 n0460	676		true
n0008	12	1.0000	n0226	n0086 n0819	362		true
n0009	10	1.0000	n0845	n0162	128		true
n0010	10	1.0000	n0196 n0400	n0353 n0378	69		true
n0011	9	1.0000	n0669	n0123	54		true
n0012	9	1.0000	n0056	n0081 n0474	432		true
n0013	8	1.0000	n0446	n0249	262		true
n0014	8	1.0000	n0626	n0023	107		true
n0015	8	1.0000	n0648 n0723	n0093	586		true
n0016	8	1.0000	n0578	n0098	354		true
n0017	7	1.0000	n0227		564		true
n0018	7	1.0000	n0410 n0735		173		true
n0019	7	1.0000	n0627 n0767	n0028	38		true
n0020	7	1.0000	n0034 n0830		100		true
n0021	6	1.0000	n0313 n0507		144		true
n0022	5	1.0000	n0038		68		true
n0023	5	1.0000	n0014		62		true
n0024	4	1.0000	n0036		6		true
n0025	4	1.0000	n0275		27		true
n0026	4	1.0000	n0232		298		true
n0027	3	1.0000	n0090		47		true
n0028	3	1.0000	n0019		17		true
n0029	3	1.0000	n0123		26		true
n0030	3	1.0000	n0067		451		true
n0031	3	1.0000	n0046		412		true
n0032	3	1.0000	n0173 n0503		535		true
n0033	3	1.0000	n0043		55		true
n0034	13	0.9900	n0660 n0785	n0020 n0140	306		true
n0035	11	0.9900	n0424 n0766	n0376 n0598	434		true
n0036	10	0.9900	n0273 n0699	n0024 n0743	897		true
n0037	9	0.9900	n0543 n0678	n0046	412		true
n0038	8	0.9900	n0146 n0759	n0022	185		true
n0039	7	0.9900	n0128 n0725	n0097	183		true
n0040	7	0.9900	n0169		179		true
n0041	6	0.9900	n0689		785		true
n0042	6	0.9900	n0701 n0771 n0810	n0051	130		true
n0043	6	0.9900	n0610	n0033	101		true
n0044	5	0.9900	n0633 n0672		1468		true
n0045	4	0.9900	n0107		143		true
n0046	6	0.9899	n0037	n0031	412		true
n0047	4	0.9899	n0777		267		true
n0048	4	0.9898	n0066		588		true
n0049	5	0.9897	n0499 n0817		76		true
n0050	3	0.9884	n0642		502		true
n0051	3	0.9811	n0042		34		true
n0052	20	0.9800	n0404	n0444 n0556 n0558	276		true
n0053	19	0.9800	n0475 n0832	n0005 n0366	1438		true
n0054	15	0.9800	n0120	n0057	2412		true
n0055	13	0.9800	n0731	n0491	65		true
n0056	12	0.9800	n0225	n0012 n0791	432		true
n0057	12	0.9800	n0054 n0753	n0066	1386		true
n0058	11	0.9800	n0544 n0646 n0649	n0173 n0234 n0708	633		true
n0059	9	0.9800	n0004 n0766	n0402	1482		true
n0060	8	0.9800	n0237		407		true
n0061	8	0.9800	n0321 n0330 n0628		333		true
n0062	7	0.9800	n0491	n0167	4		true
n0063	7	0.9800	n0467 n0667 n0829	n0100	161		true
n0064	7	0.9800	n0486 n0698		262		true
n0065	7	0.9800	n0288		276		true
n0066	7	0.9800	n0057	n0048	771		true
