child	parent
n0005	n0004
n0008	n0001
n0010	n0005
n0011	n0001
n0012	n0010
n0013	n0001
n0016	n0000
n0017	n0001
n0020	n0015
n0021	n0001
n0021	n0016
n0024	n0019
n0026	n0000
n0027	n0009
n0028	n0001
n0029	n0023
n0029	n0024
n0030	n0025
n0031	n0008
n0031	n0017
n0032	n0001
n0033	n0014
n0033	n0026
n0034	n0008
n0034	n0009
n0034	n0028
n0035	n0013
n0036	n0001
n0036	n0014
n0037	n0009
n0038	n0000
n0038	n0002
n0038	n0003
n0039	n0005
n0039	n0007
n0041	n0033
n0041	n0036
n0042	n0024
n0043	n0000
n0045	n0013
n0046	n0000
n0047	n0001
n0047	n0027
n0047	n0037
n0048	n0000
n0048	n0002
n0048	n0003
n0049	n0000
n0049	n0002
n0049	n0003
n0050	n0029
n0051	n0019
n0051	n0023
n0051	n0040
n0053	n0032
n0054	n0001
n0056	n0018
n0056	n0030
n0056	n0038
n0057	n0001
n0058	n0001
n0059	n0031
n0059	n0037
n0060	n0001
n0060	n0016
n0061	n0001
n0062	n0005
n0062	n0006
n0062	n0007
n0063	n0003
n0063	n0043
n0064	n0044
n0065	n0044
n0066	n0002
n0067	n0053
n0068	n0000
n0068	n0002
n0068	n0052
n0069	n0000
n0069	n0002
n0069	n0003
n0070	n0056
n0071	n0035
n0071	n0054
n0071	n0058
n0072	n0061
n0074	n0001
n0075	n0001
n0076	n0005
n0076	n0007
n0077	n0049
n0078	n0001
n0078	n0016
n0079	n0013
n0080	n0046
n0080	n0068
n0081	n0048
n0082	n0064
n0082	n0065
n0083	n0069
n0084	n0008
n0084	n0017
n0085	n0047
n0085	n0059
n0086	n0021
n0087	n0055
n0087	n0072
n0088	n0001
n0090	n0000
n0090	n0066
n0091	n0012
n0092	n0001
n0092	n0016
n0093	n0046
n0093	n0068
n0094	n0034
n0095	n0000
n0096	n0001
n0097	n0001
n0098	n0067
n0099	n0069
n0100	n0021
n0100	n0060
n0100	n0078
n0102	n0074
n0103	n0008
n0103	n0028
n0103	n0074
n0104	n0005
n0104	n0006
n0105	n0001
n0106	n0001
n0107	n0000
n0107	n0002
n0107	n0003
n0108	n0075
n0109	n0076
n0110	n0080
n0111	n0000
n0111	n0002
n0111	n0003
n0112	n0085
n0113	n0055
n0113	n0072
n0114	n0048
n0114	n0090
n0115	n0015
n0115	n0022
n0116	n0062
n0117	n0063
n0117	n0077
n0118	n0000
n0118	n0002
n0118	n0003
n0119	n0079
n0120	n0000
n0120	n0002
n0120	n0003
n0121	n0001
n0122	n0014
n0122	n0089
n0123	n0086
n0126	n0041
n0127	n0020
n0127	n0022
n0128	n0011
n0128	n0097
n0129	n0039
n0130	n0029
n0130	n0042
n0130	n0051
n0131	n0092
n0131	n0100
n0132	n0100
n0133	n0002
n0133	n0003
n0133	n0095
n0134	n0101
n0135	n0004
n0136	n0007
n0136	n0104
n0137	n0105
n0138	n0106
n0139	n0000
n0139	n0002
n0139	n0003
n0140	n0042
n0140	n0050
n0140	n0051
n0141	n0069
n0142	n0034
n0142	n0102
n0142	n0103
n0143	n0009
n0143	n0031
n0144	n0087
n0144	n0113
n0145	n0073
n0146	n0000
n0146	n0002
n0146	n0003
n0148	n0091
n0149	n0064
n0150	n0123
n0151	n0118
n0152	n0004
n0152	n0023
n0152	n0040
n0153	n0033
n0155	n0000
n0156	n0084
n0157	n0119
n0158	n0071
n0159	n0000
n0159	n0002
n0159	n0003
n0160	n0000
n0160	n0002
n0161	n0003
n0162	n0123
n0163	n0011
n0164	n0001
n0165	n0070
n0166	n0081
n0166	n0114
n0167	n0000
n0167	n0002
n0167	n0003
n0168	n0115
n0170	n0005
n0171	n0116
n0172	n0125
n0173	n0081
n0175	n0053
n0177	n0071
n0178	n0065
n0179	n0131
n0179	n0132
n0180	n0000
n0180	n0002
n0180	n0003
n0181	n0046
n0181	n0068
n0182	n0000
n0182	n0002
n0182	n0003
n0184	n0000
n0184	n0002
n0184	n0003
n0185	n0001
n0185	n0122
n0186	n0005
n0186	n0006
n0186	n0007
n0187	n0001
n0188	n0096
n0189	n0089
n0190	n0020
n0190	n0022
n0192	n0001
n0193	n0005
n0193	n0006
n0193	n0007
n0194	n0001
n0194	n0009
n0196	n0005
n0196	n0006
n0196	n0007
n0197	n0000
n0197	n0002
n0197	n0003
n0198	n0041
n0199	n0057
n0200	n0140
n0201	n0083
n0201	n0099
n0201	n0141
n0203	n0068
n0204	n0000
n0204	n0002
n0204	n0003
n0205	n0000
n0205	n0002
n0205	n0003
n0206	n0000
n0206	n0002
n0206	n0003
n0207	n0111
n0208	n0121
n0208	n0142
n0209	n0094
n0210	n0059
n0210	n0143
n0211	n0123
n0212	n0138
n0213	n0067
n0214	n0057
n0214	n0088
n0215	n0015
n0215	n0022
n0216	n0091
n0217	n0091
n0218	n0006
n0218	n0039
n0219	n0005
n0219	n0007
n0221	n0050
n0222	n0150
n0225	n0133
n0226	n0138
n0226	n0154
n0227	n0003
n0227	n0160
n0228	n0156
n0229	n0000
n0229	n0002
n0229	n0003
n0230	n0000
n0230	n0002
n0230	n0003
n0232	n0001
n0232	n0014
n0233	n0094
n0234	n0047
n0234	n0059
n0234	n0143
n0235	n0001
n0236	n0097
n0236	n0163
n0237	n0087
n0237	n0113
n0237	n0164
n0239	n0165
n0240	n0020
n0240	n0022
n0242	n0090
n0243	n0020
n0243	n0168
n0245	n0011
n0246	n0012
n0246	n0170
n0247	n0172
n0248	n0020
n0248	n0022
n0249	n0006
n0249	n0109
n0250	n0139
n0251	n0005
n0251	n0006
n0252	n0098
n0253	n0176
n0254	n0082
n0254	n0149
n0255	n0000
n0255	n0002
n0255	n0003
n0256	n0000
n0257	n0035
n0258	n0112
n0258	n0194
n0259	n0001
n0260	n0000
n0260	n0002
n0260	n0003
n0261	n0180
n0262	n0026
n0262	n0036
n0264	n0062
n0265	n0122
n0268	n0142
n0269	n0001
n0269	n0122
n0270	n0039
n0270	n0136
n0270	n0186
n0271	n0137
n0271	n0187
n0272	n0187
n0273	n0020
n0274	n0128
n0275	n0189
n0277	n0020
n0277	n0115
n0278	n0192
n0279	n0193
n0281	n0171
n0281	n0196
n0282	n0026
n0283	n0197
n0284	n0125
n0285	n0012
n0286	n0001
n0287	n0148
n0288	n0000
n0288	n0002
n0288	n0003
n0289	n0174
n0290	n0205
n0292	n0208
n0294	n0162
n0294	n0211
n0295	n0130
n0295	n0135
n0295	n0152
n0297	n0002
n0297	n0003
n0297	n0155
n0299	n0000
n0299	n0002
n0300	n0201
n0300	n0204
n0301	n0001
n0301	n0016
n0302	n0131
n0303	n0045
n0303	n0157
n0305	n0045
n0305	n0119
n0306	n0063
n0306	n0077
n0307	n0181
n0308	n0000
n0309	n0182
n0310	n0003
n0310	n0160
n0311	n0080
n0312	n0001
n0312	n0220
n0313	n0214
n0314	n0059
n0314	n0143
n0315	n0212
n0316	n0055
n0316	n0072
n0317	n0098
n0317	n0213
n0318	n0128
n0318	n0163
n0319	n0192
n0320	n0189
n0321	n0189
n0322	n0000
n0322	n0002
n0322	n0003
n0323	n0193
n0324	n0006
n0324	n0109
n0325	n0012
n0326	n0216
n0327	n0139
n0328	n0129
n0328	n0218
n0329	n0006
n0329	n0010
n0330	n0067
n0330	n0175
n0331	n0175
n0332	n0200
n0333	n0149
n0333	n0223
n0334	n0211
n0334	n0222
n0335	n0177
n0336	n0082
n0336	n0178
n0337	n0126
n0338	n0154
n0339	n0011
n0340	n0013
n0341	n0000
n0341	n0002
n0341	n0003
n0342	n0001
n0342	n0238
n0343	n0180
n0343	n0229
n0344	n0001
n0345	n0158
n0346	n0070
n0346	n0159
n0347	n0205
n0348	n0000
n0348	n0002
n0348	n0018
n0348	n0161
n0348	n0231
n0349	n0184
n0351	n0000
n0351	n0002
n0351	n0003
n0352	n0233
n0353	n0047
n0353	n0210
n0354	n0144
n0354	n0237
n0355	n0214
n0356	n0001
n0357	n0022
n0358	n0239
n0359	n0127
n0359	n0190
n0359	n0240
n0360	n0190
n0362	n0169
n0362	n0244
n0363	n0001
n0364	n0011
n0365	n0246
n0366	n0012
n0367	n0125
n0368	n0146
n0368	n0197
n0369	n0126
n0369	n0198
n0370	n0041
n0373	n0000
n0373	n0002
n0373	n0003
n0374	n0011
n0374	n0108
n0375	n0063
n0375	n0077
n0376	n0252
n0377	n0221
n0378	n0208
n0380	n0118
n0381	n0202
n0383	n0151
n0383	n0255
n0384	n0126
n0384	n0198
n0384	n0282
n0385	n0228
n0386	n0051
n0386	n0152
n0387	n0041
n0387	n0153
n0387	n0262
n0390	n0258
n0391	n0032
n0391	n0259
n0392	n0260
n0393	n0229
n0394	n0001
n0395	n0108
n0396	n0006
n0397	n0001
n0397	n0265
n0397	n0275
n0398	n0266
n0399	n0000
n0399	n0002
n0399	n0003
n0400	n0133
n0401	n0000
n0401	n0002
n0401	n0003
n0402	n0230
n0404	n0267
n0405	n0093
n0405	n0110
n0406	n0134
n0407	n0134
n0408	n0208
n0408	n0268
n0409	n0084
n0410	n0000
n0410	n0002
n0410	n0003
n0411	n0000
n0411	n0002
n0411	n0003
n0412	n0000
n0412	n0002
n0412	n0003
n0413	n0005
n0414	n0270
n0415	n0271
n0415	n0272
n0417	n0001
n0418	n0237
n0419	n0001
n0421	n0173
n0422	n0277
n0423	n0000
n0423	n0002
n0423	n0003
n0424	n0000
n0424	n0002
n0424	n0003
n0425	n0005
n0425	n0006
n0427	n0280
n0428	n0281
n0429	n0147
n0430	n0172
n0432	n0049
n0433	n0129
n0434	n0109
n0435	n0225
n0437	n0291
n0438	n0239
n0439	n0263
n0439	n0304
n0441	n0151
n0443	n0227
n0443	n0310
n0446	n0281
n0447	n0256
n0448	n0259
n0449	n0000
n0449	n0002
n0449	n0003
n0450	n0261
n0451	n0297
n0452	n0128
n0452	n0163
n0453	n0298
n0454	n0003
n0454	n0174
n0454	n0299
n0455	n0167
n0455	n0227
n0456	n0257
n0457	n0001
n0458	n0132
n0459	n0045
n0460	n0179
n0460	n0302
n0461	n0001
n0462	n0305
n0463	n0264
n0464	n0117
n0464	n0306
n0465	n0143
n0467	n0000
n0467	n0002
n0467	n0003
n0468	n0307
n0469	n0308
n0470	n0120
n0471	n0000
n0471	n0002
n0471	n0003
n0472	n0110
n0473	n0209
n0474	n0233
n0475	n0047
n0475	n0314
n0476	n0249
n0476	n0324
n0477	n0005
n0477	n0006
n0477	n0007
n0478	n0098
n0479	n0213
n0480	n0238
n0481	n0097
n0484	n0000
n0484	n0002
n0484	n0003
n0484	n0018
n0484	n0030
n0484	n0276
n0485	n0107
n0486	n0124
n0486	n0191
n0488	n0283
n0489	n0012
n0490	n0173
n0491	n0000
n0491	n0002
n0491	n0003
n0493	n0027
n0493	n0031
n0493	n0199
n0493	n0286
n0494	n0175
n0495	n0217
n0495	n0287
n0495	n0326
n0496	n0250
n0496	n0327
n0497	n0251
n0497	n0329
n0498	n0076
n0501	n0067
n0501	n0331
n0502	n0253
n0503	n0332
n0505	n0291
n0506	n0254
n0506	n0333
n0507	n0268
n0508	n0294
n0508	n0334
n0510	n0335
n0512	n0001
n0512	n0224
n0512	n0293
n0513	n0151
n0513	n0255
n0514	n0235
n0515	n0261
n0516	n0116
n0517	n0000
n0517	n0002
n0517	n0003
n0518	n0239
n0520	n0155
n0521	n0226
n0521	n0315
n0521	n0338
n0522	n0001
n0523	n0256
n0524	n0166
n0524	n0341
n0525	n0339
n0526	n0374
n0527	n0146
n0528	n0206
n0530	n0179
n0531	n0111
n0534	n0345
n0535	n0346
n0536	n0002
n0536	n0003
n0536	n0308
n0537	n0000
n0538	n0348
n0539	n0073
n0539	n0183
n0540	n0349
n0541	n0184
n0541	n0207
n0542	n0350
n0543	n0000
n0543	n0002
n0543	n0003
n0544	n0351
n0545	n0000
n0545	n0002
n0545	n0003
n0546	n0232
n0546	n0269
n0547	n0352
n0548	n0086
n0549	n0001
n0551	n0021
n0551	n0060
n0552	n0236
n0552	n0274
n0552	n0318
n0553	n0188
n0553	n0356
n0554	n0357
n0555	n0320
n0555	n0321
n0556	n0000
n0556	n0002
n0556	n0003
n0557	n0020
n0557	n0022
n0559	n0362
n0560	n0043
n0561	n0364
n0562	n0011
n0563	n0365
n0564	n0219
n0564	n0279
n0564	n0323
n0565	n0145
n0565	n0195
n0566	n0062
n0568	n0283
n0568	n0368
n0569	n0284
n0570	n0369
n0570	n0370
n0571	n0285
n0573	n0325
n0574	n0000
n0574	n0002
n0574	n0003
n0575	n0002
n0575	n0003
n0575	n0043
n0576	n0288
n0576	n0373
n0577	n0011
n0578	n0005
n0578	n0007
n0579	n0005
n0579	n0007
n0580	n0290
n0580	n0347
n0581	n0332
n0583	n0292
n0583	n0408
n0584	n0177
n0585	n0145
n0586	n0145
n0587	n0266
n0587	n0381
n0588	n0313
n0588	n0355
n0589	n0204
n0590	n0088
n0590	n0426
n0591	n0098
n0591	n0330
n0592	n0124
n0592	n0191
n0593	n0090
n0594	n0384
n0595	n0295
n0595	n0386
n0596	n0147
n0597	n0011
n0598	n0000
n0598	n0002
n0598	n0003
n0599	n0388
n0600	n0001
n0601	n0036
n0602	n0104
n0604	n0389
n0605	n0004
n0605	n0130
n0606	n0130
n0606	n0140
n0607	n0339
n0608	n0300
n0609	n0000
n0609	n0002
n0609	n0003
n0610	n0103
n0611	n0092
n0611	n0100
n0611	n0301
n0612	n0179
n0613	n0228
n0614	n0228
n0615	n0156
n0616	n0188
n0617	n0179
n0617	n0302
n0618	n0039
n0618	n0136
n0618	n0186
n0619	n0000
n0619	n0002
n0619	n0003
n0620	n0311
n0621	n0181
n0621	n0203
n0621	n0405
n0622	n0181
n0623	n0000
n0623	n0002
n0623	n0003
n0624	n0343
n0624	n0393
n0625	n0164
n0626	n0344
n0627	n0045
n0627	n0157
n0628	n0305
n0629	n0264
n0629	n0396
