node	key	source	name	n_genes	inclusion
n0000	go:GO:0006198	go	cAMP catabolic process	9	0.4545
n0000	go:GO:0006285	go	base-excision repair, AP site formation	12	0.4545
n0000	go:GO:0006304	go	DNA modification	29	0.4545
n0000	go:GO:0009310	go	amine catabolic process	21	0.4545
n0000	go:GO:0042428	go	serotonin metabolic process	17	0.4545
n0000	go:GO:0016310	go	phosphorylation	749	0.4444
n0000	go:GO:0019614	go	catechol-containing compound catabolic process	10	0.4444
n0000	go:GO:0042325	go	regulation of phosphorylation	441	0.4444
n0000	go:GO:0070729	go	cyclic nucleotide transport	11	0.4444
n0000	go:GO:0071495	go	cellular response to endogenous stimulus	1364	0.4444
n0000	go:GO:2000242	go	negative regulation of reproductive process	69	0.4444
n0000	hallmark:HALLMARK_MYC_TARGETS_V2	hallmark	HALLMARK_MYC_TARGETS_V2	58	0.4444
n0000	reactome:R-HSA-1187000	reactome	Fertilization	26	0.4444
n0000	reactome:R-HSA-5678895	reactome	Defective CFTR causes cystic fibrosis	48	0.4444
n0000	reactome:R-HSA-8964315	reactome	G beta:gamma signalling through BTK	18	0.4444
n0000	reactome:R-HSA-9012999	reactome	RHO GTPase cycle	450	0.4444
n0000	reactome:R-HSA-9013420	reactome	RHOU GTPase cycle	40	0.4444
n0000	go:GO:0031929	go	TOR signaling	186	0.4286
n0000	go:GO:1902170	go	cellular response to reactive nitrogen species	18	0.4286
n0000	hallmark:HALLMARK_SPERMATOGENESIS	hallmark	HALLMARK_SPERMATOGENESIS	135	0.4286
n0000	reactome:R-HSA-73884	reactome	Base Excision Repair	71	0.4286
n0000	go:GO:0006284	go	base-excision repair	48	0.4000
n0000	go:GO:0018107	go	peptidyl-threonine phosphorylation	35	0.4000
n0000	go:GO:0048069	go	eye pigmentation	7	0.4000
n0000	go:GO:0050654	go	chondroitin sulfate proteoglycan metabolic process	38	0.4000
n0000	reactome:R-HSA-165159	reactome	MTOR signalling	52	0.4000
n0000	reactome:R-HSA-3560792	reactome	Defective SLC26A2 causes chondrodysplasias	1	0.4000
n0000	reactome:R-HSA-5619077	reactome	Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	1	0.4000
n0000	reactome:R-HSA-73928	reactome	Depyrimidination	41	0.4000
