node	size	support	parents	children	n_genes	label	provisional
n0000	701	0.2300		n0016 n0026 n0038 n0043 n0046 n0048 n0049 n0068 n0069 n0090 n0095 n0107 n0111 n0118 n0120 n0139 n0146 n0155 n0159 n0160 n0167 n0180 n0182 n0184 n0197 n0204 n0205 n0206 n0229 n0230 n0255 n0256 n0260 n0288 n0299 n0308 n0322 n0341 n0348 n0351 n0373 n0399 n0401 n0410 n0411 n0412 n0423 n0424 n0449 n0467 n0471 n0484 n0491 n0517 n0537 n0543 n0545 n0556 n0574 n0598 n0609 n0619 n0623 n0632 n0633 n0642 n0661 n0679 n0681 n0689 n0720 n0724 n0731 n0743 n0745 n0750 n0756 n0757 n0777 n0785 n0796 n0812 n0821 n0823 n0835 n0838 n0853 n0867 n0878 n0890 n0915 n0927 n0998 n1148 n1199	11682		true
n0001	620	0.2700		n0008 n0011 n0013 n0017 n0021 n0028 n0032 n0036 n0047 n0054 n0057 n0058 n0060 n0061 n0074 n0075 n0078 n0088 n0092 n0096 n0097 n0105 n0106 n0121 n0164 n0185 n0187 n0192 n0194 n0232 n0235 n0259 n0269 n0286 n0301 n0312 n0342 n0344 n0356 n0363 n0394 n0397 n0417 n0419 n0457 n0461 n0512 n0522 n0549 n0600 n0674 n0710 n0723 n0916 n0944 n0968 n1093	9880		true
n0002	555	0.2100		n0038 n0048 n0049 n0066 n0068 n0069 n0107 n0111 n0118 n0120 n0133 n0139 n0146 n0159 n0160 n0167 n0180 n0182 n0184 n0197 n0204 n0205 n0206 n0229 n0230 n0255 n0260 n0288 n0297 n0299 n0322 n0341 n0348 n0351 n0373 n0399 n0401 n0410 n0411 n0412 n0423 n0424 n0449 n0467 n0471 n0484 n0491 n0517 n0536 n0543 n0545 n0556 n0574 n0575 n0598 n0609 n0619 n0623 n0632 n0633 n0642 n0661 n0679 n0681 n0689 n0697 n0719 n0720 n0724 n0731 n0745 n0750 n0756 n0777 n0785 n0812 n0823 n0827 n0835 n0841 n0853 n0878 n0890 n0915 n0927 n1105 n1141	10767		true
n0003	516	0.3500		n0038 n0048 n0049 n0063 n0069 n0107 n0111 n0118 n0120 n0133 n0139 n0146 n0159 n0161 n0167 n0180 n0182 n0184 n0197 n0204 n0205 n0206 n0227 n0229 n0230 n0255 n0260 n0288 n0297 n0310 n0322 n0341 n0351 n0373 n0399 n0401 n0410 n0411 n0412 n0423 n0424 n0449 n0454 n0467 n0471 n0484 n0491 n0517 n0536 n0543 n0545 n0556 n0574 n0575 n0598 n0609 n0619 n0623 n0632 n0633 n0642 n0661 n0679 n0681 n0719 n0720 n0724 n0731 n0745 n0750 n0756 n0777 n0785 n0812 n0823 n0835 n0841 n0853 n0878 n0890 n0915 n0927 n0941 n1148	10062		true
n0004	253	0.4200		n0005 n0135 n0152 n0605 n0894 n0924 n1072	4572		true
n0005	222	1.0000	n0004	n0010 n0039 n0062 n0076 n0104 n0170 n0186 n0193 n0196 n0219 n0251 n0413 n0425 n0477 n0578 n0579 n0670 n0764 n0765 n0787 n0801 n1015	4261		true
n0006	139	0.4100		n0062 n0104 n0186 n0193 n0196 n0218 n0249 n0251 n0324 n0329 n0396 n0425 n0477 n0670 n0676 n0764 n0765 n0801 n0845 n0988 n0997 n1021 n1180	3795		true
n0007	129	0.3600		n0039 n0062 n0076 n0136 n0186 n0193 n0196 n0219 n0477 n0578 n0579 n0670 n0765 n0801 n1180	3288		true
n0008	106	0.3900	n0001	n0031 n0034 n0084 n0103 n0725	2686		true
n0009	93	0.2500		n0027 n0034 n0037 n0143 n0194 n0725 n0957 n1123	2539		true
