child	parent
n0001	n0000
n0006	n0002
n0011	n0005
n0013	n0004
n0017	n0014
n0018	n0003
n0019	n0010
n0020	n0012
n0024	n0014
n0025	n0016
n0028	n0001
n0031	n0022
n0032	n0000
n0034	n0006
n0034	n0007
n0035	n0003
n0035	n0021
n0036	n0011
n0037	n0000
n0038	n0010
n0039	n0025
n0041	n0009
n0044	n0001
n0045	n0026
n0046	n0008
n0047	n0013
n0048	n0005
n0049	n0025
n0050	n0023
n0057	n0029
n0058	n0033
n0060	n0031
n0061	n0023
n0062	n0008
n0064	n0027
n0066	n0006
n0067	n0025
n0068	n0034
n0070	n0015
n0071	n0018
n0073	n0017
n0073	n0024
n0073	n0040
n0074	n0041
n0075	n0001
n0077	n0028
n0078	n0036
n0081	n0004
n0082	n0019
n0082	n0056
n0083	n0051
n0087	n0031
n0088	n0001
n0089	n0055
n0093	n0043
n0095	n0001
n0096	n0044
n0097	n0001
n0099	n0036
n0101	n0039
n0101	n0049
n0102	n0057
n0103	n0002
n0103	n0007
n0103	n0032
n0103	n0037
n0106	n0059
n0110	n0063
n0111	n0014
n0113	n0001
n0115	n0001
n0116	n0046
n0117	n0068
n0118	n0011
n0118	n0048
n0119	n0074
n0123	n0001
n0125	n0013
n0126	n0009
n0128	n0038
n0129	n0038
n0130	n0055
n0131	n0063
n0134	n0045
n0139	n0066
n0140	n0039
n0140	n0049
n0140	n0067
n0142	n0079
n0143	n0058
n0144	n0083
n0145	n0050
n0145	n0061
n0148	n0020
n0150	n0001
n0151	n0085
n0158	n0030
n0159	n0054
n0161	n0035
n0164	n0071
n0166	n0073
n0170	n0093
n0171	n0094
n0172	n0095
n0174	n0096
n0177	n0001
n0178	n0065
n0179	n0100
n0181	n0105
n0184	n0096
n0185	n0105
n0186	n0081
n0193	n0015
n0194	n0030
n0195	n0018
n0196	n0071
n0198	n0113
n0204	n0001
n0205	n0076
n0206	n0097
n0208	n0116
n0209	n0078
n0209	n0099
n0210	n0121
n0211	n0047
n0215	n0110
n0215	n0131
n0217	n0107
n0220	n0069
n0221	n0080
n0222	n0082
n0223	n0042
n0225	n0069
n0229	n0015
n0230	n0053
n0231	n0054
n0232	n0086
n0234	n0060
n0234	n0087
n0235	n0129
n0236	n0016
n0238	n0001
n0239	n0089
n0239	n0130
n0241	n0072
n0243	n0042
n0244	n0132
n0245	n0092
n0247	n0075
n0248	n0026
n0249	n0045
n0251	n0001
n0253	n0001
n0254	n0117
n0256	n0144
n0258	n0033
n0258	n0141
n0259	n0085
n0261	n0064
n0262	n0103
n0263	n0122
n0267	n0034
n0268	n0021
n0269	n0083
n0270	n0015
n0272	n0040
n0273	n0052
n0274	n0108
n0276	n0153
n0277	n0009
n0278	n0070
n0278	n0154
n0279	n0029
n0283	n0163
n0285	n0001
n0285	n0032
n0286	n0001
n0287	n0088
n0288	n0012
n0289	n0024
n0289	n0111
n0290	n0062
n0291	n0112
n0292	n0090
n0293	n0091
n0295	n0169
n0300	n0001
n0301	n0001
n0302	n0176
n0304	n0001
n0305	n0116
n0306	n0097
n0307	n0137
n0308	n0138
n0309	n0046
n0310	n0161
n0311	n0047
n0313	n0057
n0315	n0106
n0316	n0028
n0317	n0064
n0318	n0144
n0321	n0062
n0322	n0080
n0323	n0072
n0325	n0082
n0326	n0106
n0328	n0020
n0331	n0070
n0332	n0060
n0333	n0151
n0334	n0152
n0335	n0125
n0336	n0191
n0338	n0155
n0338	n0192
n0339	n0156
n0340	n0169
n0341	n0158
n0342	n0127
n0343	n0162
n0344	n0164
n0346	n0001
n0347	n0001
n0348	n0077
n0349	n0165
n0350	n0172
n0353	n0001
n0354	n0168
n0356	n0133
n0357	n0201
n0358	n0171
n0359	n0114
n0359	n0202
n0360	n0175
n0361	n0077
n0365	n0078
n0366	n0048
n0367	n0035
n0369	n0027
n0370	n0103
n0371	n0120
n0372	n0128
n0373	n0241
n0374	n0001
n0375	n0098
n0376	n0076
n0377	n0148
n0379	n0127
n0380	n0159
n0382	n0061
n0384	n0093
n0385	n0001
n0386	n0097
n0388	n0001
n0390	n0097
