node	key	source	name	n_genes	inclusion
n0000	reactome:R-HSA-9733458	reactome	Induction of Cell-Cell Fusion	13	0.4848
n0000	reactome:R-HSA-9918481	reactome	Dengue Virus-Host Interactions	257	0.4848
n0000	go:GO:0016032	go	viral process	374	0.4839
n0000	reactome:R-HSA-192823	reactome	Viral mRNA Translation	90	0.4706
n0000	reactome:R-HSA-176033	reactome	Interactions of Vpr with host cellular proteins	37	0.4688
n0000	reactome:R-HSA-9026286	reactome	Biosynthesis of DPAn-3-derived protectins and resolvins	2	0.4545
n0000	reactome:R-HSA-9683683	reactome	Maturation of protein E	4	0.4516
n0000	reactome:R-HSA-9820965	reactome	Respiratory syncytial virus (RSV) genome replication, transcription and translation	17	0.4412
n0000	reactome:R-HSA-180910	reactome	Vpr-mediated nuclear import of PICs	34	0.4375
n0000	reactome:R-HSA-167246	reactome	Tat-mediated elongation of the HIV-1 transcript	43	0.4231
n0000	reactome:R-HSA-9820962	reactome	Assembly and release of respiratory syncytial virus (RSV) virions	2	0.4118
n0000	reactome:R-HSA-168333	reactome	NEP/NS2 Interacts with the Cellular Export Machinery	32	0.4062
n0000	go:GO:0075525	go	viral translational termination-reinitiation	5	0.4000
n0000	reactome:R-HSA-9025094	reactome	Biosynthesis of DPAn-3 SPMs	4	0.4000
n0000	reactome:R-HSA-9679191	reactome	Potential therapeutics for SARS	161	0.4000
n0000	go:GO:0006954	go	inflammatory response	998	0.3750
n0000	reactome:R-HSA-9018681	reactome	Biosynthesis of protectins	4	0.3714
n0000	reactome:R-HSA-9679509	reactome	Virion Assembly and Release	0	0.3667
n0000	reactome:R-HSA-9018678	reactome	Biosynthesis of specialized proresolving mediators (SPMs)	19	0.3548
n0000	go:GO:0033088	go	negative regulation of immature T cell proliferation in thymus	5	0.3333
n0000	go:GO:1902170	go	cellular response to reactive nitrogen species	18	0.3214
n0000	reactome:R-HSA-9026290	reactome	Biosynthesis of DPAn-3-derived maresins	2	0.3103
n0000	go:GO:0040011	go	locomotion	1379	0.2857
n0000	go:GO:0141214	go	positive regulation of phospholipase C/protein kinase C signal transduction	5	0.2647
n0000	go:GO:1904999	go	positive regulation of leukocyte adhesion to arterial endothelial cell	5	0.2581
n0000	go:GO:0002318	go	myeloid progenitor cell differentiation	8	0.2500
n0001	go:GO:0097696	go	cell surface receptor signaling pathway via STAT	177	0.4889
n0001	go:GO:1902170	go	cellular response to reactive nitrogen species	18	0.4400
n0001	go:GO:0046425	go	regulation of receptor signaling pathway via JAK-STAT	86	0.4198
n0001	go:GO:0060340	go	positive regulation of type I interferon-mediated signaling pathway	20	0.4058
n0001	reactome:R-HSA-1169408	reactome	ISG15 antiviral mechanism	74	0.3933
n0001	go:GO:0032688	go	negative regulation of interferon-beta production	17	0.3827
n0001	go:GO:0035458	go	cellular response to interferon-beta	30	0.3810
n0001	reactome:R-HSA-9026286	reactome	Biosynthesis of DPAn-3-derived protectins and resolvins	2	0.3797
n0001	go:GO:0034342	go	response to type III interferon	11	0.3780
n0001	hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	0.3780
n0001	reactome:R-HSA-912694	reactome	Regulation of IFNA/IFNB signaling	25	0.3659
n0001	go:GO:0060338	go	regulation of type I interferon-mediated signaling pathway	45	0.3563
n0001	go:GO:0043922	go	host-mediated suppression of viral transcription	13	0.3562
n0001	go:GO:0032606	go	type I interferon production	141	0.3506
n0001	reactome:R-HSA-1606341	reactome	IRF3 mediated activation of type 1 IFN	5	0.3500
n0001	reactome:R-HSA-9018678	reactome	Biosynthesis of specialized proresolving mediators (SPMs)	19	0.3333
n0001	reactome:R-HSA-9018681	reactome	Biosynthesis of protectins	4	0.3333
n0001	go:GO:0006954	go	inflammatory response	998	0.3293
n0001	reactome:R-HSA-1169410	reactome	Antimicrobial mechanism of IFN-stimulated genes	219	0.3289
n0001	go:GO:1900246	go	positive regulation of RIG-I signaling pathway	11	0.3247
n0001	go:GO:1904999	go	positive regulation of leukocyte adhesion to arterial endothelial cell	5	0.3210
n0001	reactome:R-HSA-9025094	reactome	Biosynthesis of DPAn-3 SPMs	4	0.3108
n0001	reactome:R-HSA-9026290	reactome	Biosynthesis of DPAn-3-derived maresins	2	0.2805
n0001	go:GO:0141214	go	positive regulation of phospholipase C/protein kinase C signal transduction	5	0.2692
n0001	go:GO:0033088	go	negative regulation of immature T cell proliferation in thymus	5	0.2593
n0001	go:GO:0019079	go	viral genome replication	116	0.2564
n0002	reactome:R-HSA-936964	reactome	Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)	18	0.4714
