node	size	support	parents	children	n_genes	label	provisional
n0000	253	0.3900		n0001 n0032 n0037	4572		true
n0001	222	1.0000	n0000	n0028 n0044 n0075 n0088 n0095 n0097 n0113 n0115 n0123 n0150 n0177 n0204 n0238 n0251 n0253 n0285 n0286 n0300 n0301 n0304 n0346 n0347 n0353 n0374 n0385 n0388	4261		true
n0002	45	0.7800		n0006 n0103	1420		true
n0003	43	0.6700		n0018 n0035	1469		true
n0004	41	0.6900		n0013 n0081	925		true
n0005	33	0.4800		n0011 n0048	1398		true
n0006	32	0.3300	n0002	n0034 n0066	1124		true
n0007	32	0.5800		n0034 n0103	1126		true
n0008	32	0.4100		n0046 n0062	3099		true
n0009	31	0.6400		n0041 n0126 n0277	862		true
n0010	30	0.7500		n0019 n0038	1454		true
n0011	29	0.6700	n0005	n0036 n0118	1309		true
n0012	29	0.3300		n0020 n0288	1833		true
n0013	27	0.8200	n0004	n0047 n0125	872		true
n0014	27	0.6900		n0017 n0024 n0111	1110		true
n0015	25	0.7700		n0070 n0193 n0229 n0270	531		true
n0016	24	0.9900		n0025 n0236	206		true
n0017	24	0.3300	n0014	n0073	471		true
n0018	23	0.9900	n0003	n0071 n0195	1278		true
n0019	23	0.3300	n0010	n0082	1352		true
n0020	22	0.5700	n0012	n0148 n0328	1779		true
n0021	22	0.7200		n0035 n0268	282		true
n0022	22	0.3500		n0031	1663		true
n0023	21	0.9000		n0050 n0061	545		true
n0024	21	0.4100	n0014	n0073 n0289	382		true
n0025	20	1.0000	n0016	n0039 n0049 n0067	199		true
n0026	20	0.7400		n0045 n0248	938		true
n0027	20	0.4300		n0064 n0369	792		true
n0028	20	0.7700	n0001	n0077 n0316	579		true
n0029	19	0.8500		n0057 n0279	483		true
n0030	19	0.6100		n0158 n0194	1146		true
n0031	19	0.4400	n0022	n0060 n0087	1441		true
n0032	19	0.4400	n0000	n0103 n0285	836		true
n0033	18	0.7600		n0058 n0258	437		true
n0034	18	0.7400	n0006 n0007	n0068 n0267	743		true
n0035	18	0.9800	n0003 n0021	n0161 n0367	244		true
n0036	17	0.9100	n0011	n0078 n0099	844		true
n0037	17	0.3300	n0000	n0103	528		true
n0038	17	0.8000	n0010	n0128 n0129	702		true
n0039	17	0.3400	n0025	n0101 n0140	198		true
n0040	17	0.6500		n0073 n0272	1301		true
n0041	17	1.0000	n0009	n0074	347		true
n0042	17	0.4200		n0223 n0243	671		true
n0043	17	0.4500		n0093	221		true
n0044	17	0.4800	n0001	n0096	364		true
n0045	17	0.4000	n0026	n0134 n0249	831		true
n0046	17	0.4300	n0008	n0116 n0309	2243		true
n0047	16	0.6200	n0013	n0211 n0311	671		true
n0048	16	0.5500	n0005	n0118 n0366	809		true
n0049	16	0.9600	n0025	n0101 n0140	191		true
n0050	16	0.4000	n0023	n0145	336		true
n0051	16	1.0000		n0083	387		true
n0052	16	0.3300		n0273	844		true
n0053	16	0.5200		n0230	421		true
n0054	16	0.4300		n0159 n0231	582		true
n0055	16	0.5400		n0089 n0130	937		true
n0056	16	0.3400		n0082	1197		true
n0057	15	0.9300	n0029	n0102 n0313	369		true
n0058	15	0.4700	n0033	n0143	349		true
n0059	15	0.9000		n0106	159		true
n0060	15	0.4900	n0031	n0234 n0332	1422		true
n0061	15	0.7000	n0023	n0145 n0382	507		true
n0062	15	0.5600	n0008	n0290 n0321	1694		true
n0063	15	1.0000		n0110 n0131	535		true
n0064	15	0.8800	n0027	n0261 n0317	758		true
