child	parent
k100:1	k50:1
k100:10	k50:5
k100:100	k50:50
k100:11	k50:6
k100:12	k50:6
k100:13	k50:7
k100:14	k50:7
k100:15	k50:8
k100:16	k50:9
k100:17	k50:9
k100:18	k50:9
k100:19	k50:10
k100:2	k50:1
k100:20	k50:11
k100:21	k50:11
k100:22	k50:12
k100:23	k50:13
k100:24	k50:13
k100:25	k50:14
k100:26	k50:14
k100:27	k50:15
k100:28	k50:15
k100:29	k50:16
k100:3	k50:1
k100:30	k50:16
k100:31	k50:17
k100:32	k50:17
k100:33	k50:17
k100:34	k50:18
k100:35	k50:18
k100:36	k50:19
k100:37	k50:19
k100:38	k50:19
k100:39	k50:19
k100:4	k50:2
k100:40	k50:20
k100:41	k50:20
k100:42	k50:21
k100:43	k50:21
k100:44	k50:21
k100:45	k50:21
k100:46	k50:22
k100:47	k50:22
k100:48	k50:23
k100:49	k50:24
k100:5	k50:3
k100:50	k50:24
k100:51	k50:25
k100:52	k50:25
k100:53	k50:25
k100:54	k50:26
k100:55	k50:26
k100:56	k50:27
k100:57	k50:28
k100:58	k50:28
k100:59	k50:28
k100:6	k50:3
k100:60	k50:29
k100:61	k50:29
k100:62	k50:30
k100:63	k50:31
k100:64	k50:31
k100:65	k50:32
k100:66	k50:32
k100:67	k50:33
k100:68	k50:33
k100:69	k50:34
k100:7	k50:4
k100:70	k50:35
k100:71	k50:35
k100:72	k50:36
k100:73	k50:36
k100:74	k50:36
k100:75	k50:37
k100:76	k50:37
k100:77	k50:37
k100:78	k50:37
k100:79	k50:38
k100:8	k50:5
k100:80	k50:39
k100:81	k50:39
k100:82	k50:40
k100:83	k50:41
k100:84	k50:42
k100:85	k50:42
k100:86	k50:43
k100:87	k50:43
k100:88	k50:44
k100:89	k50:44
k100:9	k50:5
k100:90	k50:45
k100:91	k50:46
k100:92	k50:46
k100:93	k50:46
k100:94	k50:47
k100:95	k50:47
k100:96	k50:48
k100:97	k50:48
k100:98	k50:49
k100:99	k50:50
k200:1	k100:1
k200:10	k100:5
k200:100	k100:47
k200:101	k100:48
k200:102	k100:48
k200:103	k100:49
k200:104	k100:50
k200:105	k100:50
k200:106	k100:51
k200:107	k100:51
k200:108	k100:51
k200:109	k100:51
k200:11	k100:6
k200:110	k100:52
k200:111	k100:53
k200:112	k100:54
k200:113	k100:55
k200:114	k100:55
k200:115	k100:56
k200:116	k100:56
k200:117	k100:56
k200:118	k100:56
k200:119	k100:57
k200:12	k100:6
k200:120	k100:58
k200:121	k100:59
k200:122	k100:59
k200:123	k100:60
k200:124	k100:61
k200:125	k100:61
k200:126	k100:62
k200:127	k100:62
k200:128	k100:63
k200:129	k100:64
k200:13	k100:6
k200:130	k100:64
k200:131	k100:64
k200:132	k100:65
k200:133	k100:65
k200:134	k100:66
k200:135	k100:66
k200:136	k100:67
k200:137	k100:67
k200:138	k100:68
k200:139	k100:68
k200:14	k100:7
k200:140	k100:69
k200:141	k100:69
k200:142	k100:70
k200:143	k100:71
k200:144	k100:71
k200:145	k100:72
k200:146	k100:72
k200:147	k100:73
k200:148	k100:74
k200:149	k100:75
k200:15	k100:7
k200:150	k100:76
k200:151	k100:76
k200:152	k100:77
k200:153	k100:77
k200:154	k100:78
k200:155	k100:78
k200:156	k100:78
k200:157	k100:79
k200:158	k100:80
k200:159	k100:80
k200:16	k100:7
k200:160	k100:81
k200:161	k100:81
k200:162	k100:81
k200:163	k100:82
k200:164	k100:82
k200:165	k100:82
k200:166	k100:82
k200:167	k100:82
k200:168	k100:83
k200:169	k100:83
k200:17	k100:8
k200:170	k100:84
k200:171	k100:84
k200:172	k100:84
k200:173	k100:85
k200:174	k100:85
k200:175	k100:86
k200:176	k100:87
k200:177	k100:88
k200:178	k100:89
k200:179	k100:90
k200:18	k100:8
k200:180	k100:90
k200:181	k100:91
k200:182	k100:92
k200:183	k100:92
k200:184	k100:93
k200:185	k100:93
k200:186	k100:93
k200:187	k100:93
k200:188	k100:94
k200:189	k100:95
k200:19	k100:8
k200:190	k100:95
k200:191	k100:96
k200:192	k100:97
k200:193	k100:97
k200:194	k100:97
k200:195	k100:98
k200:196	k100:99
k200:197	k100:99
k200:198	k100:100
k200:199	k100:100
k200:2	k100:2
k200:20	k100:9
k200:200	k100:100
k200:21	k100:9
k200:22	k100:10
k200:23	k100:10
k200:24	k100:10
k200:25	k100:11
k200:26	k100:12
k200:27	k100:12
k200:28	k100:13
k200:29	k100:13
k200:3	k100:2
k200:30	k100:14
k200:31	k100:14
k200:32	k100:14
k200:33	k100:14
k200:34	k100:15
k200:35	k100:15
k200:36	k100:16
k200:37	k100:17
k200:38	k100:18
k200:39	k100:19
k200:4	k100:2
k200:40	k100:19
k200:41	k100:20
k200:42	k100:20
k200:43	k100:21
k200:44	k100:21
k200:45	k100:22
k200:46	k100:23
k200:47	k100:23
k200:48	k100:24
k200:49	k100:24
k200:5	k100:3
k200:50	k100:25
k200:51	k100:25
k200:52	k100:26
k200:53	k100:26
k200:54	k100:27
k200:55	k100:27
k200:56	k100:28
k200:57	k100:28
k200:58	k100:28
k200:59	k100:28
k200:6	k100:3
k200:60	k100:29
k200:61	k100:29
k200:62	k100:30
k200:63	k100:30
k200:64	k100:31
k200:65	k100:31
k200:66	k100:31
k200:67	k100:32
k200:68	k100:32
k200:69	k100:33
k200:7	k100:3
k200:70	k100:33
k200:71	k100:34
k200:72	k100:34
k200:73	k100:35
k200:74	k100:35
k200:75	k100:35
k200:76	k100:35
k200:77	k100:36
k200:78	k100:36
k200:79	k100:36
k200:8	k100:4
k200:80	k100:37
k200:81	k100:37
k200:82	k100:37
k200:83	k100:37
k200:84	k100:37
k200:85	k100:38
k200:86	k100:39
k200:87	k100:39
k200:88	k100:40
k200:89	k100:40
k200:9	k100:4
k200:90	k100:41
k200:91	k100:41
k200:92	k100:42
k200:93	k100:43
k200:94	k100:44
k200:95	k100:45
k200:96	k100:45
k200:97	k100:45
k200:98	k100:46
k200:99	k100:47
k25:1	k10:1
k25:10	k10:5
k25:11	k10:6
k25:12	k10:6
k25:13	k10:6
k25:14	k10:7
k25:15	k10:7
k25:16	k10:8
k25:17	k10:8
k25:18	k10:9
k25:19	k10:9
k25:2	k10:1
k25:20	k10:9
k25:21	k10:9
k25:22	k10:10
k25:23	k10:10
k25:24	k10:10
k25:25	k10:10
k25:3	k10:2
k25:4	k10:3
k25:5	k10:3
k25:6	k10:4
k25:7	k10:4
k25:8	k10:5
k25:9	k10:5
k50:1	k25:1
k50:10	k25:4
k50:11	k25:4
k50:12	k25:5
k50:13	k25:5
k50:14	k25:5
k50:15	k25:5
k50:16	k25:6
k50:17	k25:7
k50:18	k25:7
k50:19	k25:8
k50:2	k25:2
k50:20	k25:9
k50:21	k25:9
k50:22	k25:10
k50:23	k25:10
k50:24	k25:10
k50:25	k25:11
k50:26	k25:12
k50:27	k25:13
k50:28	k25:13
k50:29	k25:14
k50:3	k25:2
k50:30	k25:15
k50:31	k25:15
k50:32	k25:16
k50:33	k25:16
k50:34	k25:17
k50:35	k25:17
k50:36	k25:18
k50:37	k25:19
k50:38	k25:20
k50:39	k25:20
k50:4	k25:2
k50:40	k25:21
k50:41	k25:21
k50:42	k25:21
k50:43	k25:22
k50:44	k25:22
k50:45	k25:23
k50:46	k25:23
k50:47	k25:24
k50:48	k25:25
k50:49	k25:25
k50:5	k25:2
k50:50	k25:25
k50:6	k25:3
k50:7	k25:3
k50:8	k25:3
k50:9	k25:3
