key	node	inclusion	gene_support
btm:M47.0	k100:1	1.0000	
btm:M47.3	k100:1	1.0000	
btm:M69	k100:1	1.0000	
btm:M83	k100:1	1.0000	
btm:M9	k100:1	1.0000	
go:GO:0002322	k100:1	1.0000	
go:GO:0002328	k100:1	1.0000	
go:GO:0002329	k100:1	1.0000	
go:GO:0002579	k100:1	1.0000	
go:GO:0019724	k100:1	1.0000	
go:GO:0038093	k100:1	1.0000	
go:GO:0048290	k100:1	1.0000	
go:GO:0090716	k100:1	1.0000	
reactome:R-HSA-9938027	k100:1	1.0000	
btm:M112.0	k100:10	1.0000	
btm:M177.0	k100:10	1.0000	
btm:M177.1	k100:10	1.0000	
btm:M27.1	k100:10	1.0000	
btm:M39	k100:10	1.0000	
go:GO:0002523	k100:10	1.0000	
go:GO:0002690	k100:10	1.0000	
go:GO:0002692	k100:10	1.0000	
go:GO:0050900	k100:10	1.0000	
go:GO:0050918	k100:10	1.0000	
go:GO:0060326	k100:10	1.0000	
go:GO:0060354	k100:10	1.0000	
go:GO:0071605	k100:10	1.0000	
go:GO:0071639	k100:10	1.0000	
go:GO:0071677	k100:10	1.0000	
go:GO:1901623	k100:10	1.0000	
go:GO:1904995	k100:10	1.0000	
go:GO:1904999	k100:10	1.0000	
go:GO:2000403	k100:10	1.0000	
go:GO:2000404	k100:10	1.0000	
hallmark:HALLMARK_COMPLEMENT	k100:10	1.0000	
reactome:R-HSA-173736	k100:10	1.0000	
reactome:R-HSA-380108	k100:10	1.0000	
reactome:R-HSA-977606	k100:10	1.0000	
reactome:R-HSA-9855719	k100:10	1.0000	
btm:M17.3	k100:100	1.0000	
go:GO:0001710	k100:100	1.0000	
go:GO:0001756	k100:100	1.0000	
go:GO:0001826	k100:100	1.0000	
go:GO:0007369	k100:100	1.0000	
go:GO:0007492	k100:100	1.0000	
go:GO:0009886	k100:100	1.0000	
go:GO:0009948	k100:100	1.0000	
go:GO:0022603	k100:100	1.0000	
go:GO:0035987	k100:100	1.0000	
go:GO:0042661	k100:100	1.0000	
go:GO:0048340	k100:100	1.0000	
go:GO:0048646	k100:100	1.0000	
go:GO:0071695	k100:100	1.0000	
go:GO:0090245	k100:100	1.0000	
reactome:R-HSA-1433617	k100:100	1.0000	
reactome:R-HSA-9758919	k100:100	1.0000	
reactome:R-HSA-9758941	k100:100	1.0000	
reactome:R-HSA-9796292	k100:100	1.0000	
reactome:R-HSA-9824272	k100:100	1.0000	
go:GO:0007586	k100:11	1.0000	
go:GO:0030300	k100:11	1.0000	
go:GO:0034378	k100:11	1.0000	
go:GO:0046462	k100:11	1.0000	
go:GO:0050892	k100:11	1.0000	
go:GO:0098856	k100:11	1.0000	
go:GO:0106001	k100:11	1.0000	
go:GO:0170062	k100:11	1.0000	
go:GO:1904478	k100:11	1.0000	
reactome:R-HSA-192456	k100:11	1.0000	
reactome:R-HSA-8935690	k100:11	1.0000	
reactome:R-HSA-8963676	k100:11	1.0000	
reactome:R-HSA-8963678	k100:11	1.0000	
reactome:R-HSA-8963888	k100:11	1.0000	
reactome:R-HSA-8981373	k100:11	1.0000	
go:GO:0010901	k100:12	1.0000	
go:GO:0010982	k100:12	1.0000	
go:GO:0030730	k100:12	1.0000	
go:GO:0034196	k100:12	1.0000	
go:GO:0034370	k100:12	1.0000	
go:GO:0034371	k100:12	1.0000	
go:GO:0034375	k100:12	1.0000	
go:GO:0034380	k100:12	1.0000	
go:GO:0042159	k100:12	1.0000	
go:GO:0044872	k100:12	1.0000	
go:GO:0061724	k100:12	1.0000	
go:GO:0071830	k100:12	1.0000	
go:GO:0097006	k100:12	1.0000	
go:GO:0140042	k100:12	1.0000	
go:GO:1903726	k100:12	1.0000	
go:GO:1905952	k100:12	1.0000	
reactome:R-HSA-8866427	k100:12	1.0000	
reactome:R-HSA-8963889	k100:12	1.0000	
reactome:R-HSA-8963899	k100:12	1.0000	
reactome:R-HSA-8963901	k100:12	1.0000	
reactome:R-HSA-9613354	k100:12	1.0000	
go:GO:0033489	k100:13	1.0000	
go:GO:0036314	k100:13	1.0000	
go:GO:0038183	k100:13	1.0000	
go:GO:0045540	k100:13	1.0000	
go:GO:0045541	k100:13	1.0000	
go:GO:0051055	k100:13	1.0000	
go:GO:0061009	k100:13	1.0000	
go:GO:0090181	k100:13	1.0000	
go:GO:0120188	k100:13	1.0000	
hallmark:HALLMARK_BILE_ACID_METABOLISM	k100:13	1.0000	
hallmark:HALLMARK_CHOLESTEROL_HOMEOSTASIS	k100:13	1.0000	
reactome:R-HSA-194068	k100:13	1.0000	
reactome:R-HSA-3359463	k100:13	1.0000	
reactome:R-HSA-5579002	k100:13	1.0000	
reactome:R-HSA-5619110	k100:13	1.0000	
reactome:R-HSA-6807062	k100:13	1.0000	
reactome:R-HSA-8957322	k100:13	1.0000	
reactome:R-HSA-9031525	k100:13	1.0000	
reactome:R-HSA-9623433	k100:13	1.0000	
reactome:R-HSA-9958517	k100:13	1.0000	
btm:M249	k100:14	1.0000	
btm:M88.1	k100:14	1.0000	
go:GO:0006071	k100:14	1.0000	
go:GO:0006641	k100:14	1.0000	
go:GO:0010565	k100:14	1.0000	
go:GO:0015793	k100:14	1.0000	
go:GO:0019217	k100:14	1.0000	
go:GO:0019401	k100:14	1.0000	
go:GO:0034379	k100:14	1.0000	
go:GO:0042755	k100:14	1.0000	
go:GO:0044320	k100:14	1.0000	
go:GO:0045600	k100:14	1.0000	
go:GO:0045723	k100:14	1.0000	
go:GO:0045834	k100:14	1.0000	
go:GO:0045990	k100:14	1.0000	
go:GO:0046164	k100:14	1.0000	
go:GO:0046889	k100:14	1.0000	
go:GO:0055095	k100:14	1.0000	
go:GO:0071396	k100:14	1.0000	
go:GO:0071402	k100:14	1.0000	
go:GO:0090208	k100:14	1.0000	
go:GO:1901654	k100:14	1.0000	
go:GO:1901655	k100:14	1.0000	
go:GO:1903444	k100:14	1.0000	
go:GO:1904178	k100:14	1.0000	
go:GO:1904179	k100:14	1.0000	
hallmark:HALLMARK_ADIPOGENESIS	k100:14	1.0000	
