id	support	n_members	n_genes	label	provisional
k100:1	1.0000	14	667		true
k100:10	1.0000	25	864		true
k100:100	1.0000	20	2079		true
k100:11	1.0000	15	268		true
k100:12	1.0000	21	317		true
k100:13	1.0000	20	434		true
k100:14	1.0000	32	1605		true
k100:15	1.0000	22	765		true
k100:16	1.0000	9	121		true
k100:17	1.0000	10	349		true
k100:18	1.0000	16	476		true
k100:19	1.0000	19	1012		true
k100:2	1.0000	32	1055		true
k100:20	1.0000	34	963		true
k100:21	1.0000	17	492		true
k100:22	1.0000	25	531		true
k100:23	1.0000	13	2518		true
k100:24	1.0000	23	923		true
k100:25	1.0000	16	541		true
k100:26	1.0000	15	141		true
k100:27	1.0000	14	345		true
k100:28	1.0000	28	1648		true
k100:29	1.0000	18	743		true
k100:3	1.0000	38	968		true
k100:30	1.0000	14	542		true
k100:31	1.0000	28	1972		true
k100:32	1.0000	13	3094		true
k100:33	1.0000	20	624		true
k100:34	1.0000	17	876		true
k100:35	1.0000	35	2922		true
k100:36	1.0000	25	855		true
k100:37	1.0000	45	2628		true
k100:38	1.0000	9	27		true
k100:39	1.0000	11	290		true
k100:4	1.0000	19	836		true
k100:40	1.0000	27	1362		true
k100:41	1.0000	20	2203		true
k100:42	1.0000	8	193		true
k100:43	1.0000	16	590		true
k100:44	1.0000	10	576		true
k100:45	1.0000	20	1450		true
k100:46	1.0000	17	844		true
k100:47	1.0000	16	809		true
k100:48	1.0000	19	1146		true
k100:49	1.0000	8	788		true
k100:5	1.0000	5	19		true
k100:50	1.0000	17	221		true
k100:51	1.0000	51	1750		true
k100:52	1.0000	6	115		true
k100:53	1.0000	18	1355		true
k100:54	1.0000	11	82		true
k100:55	1.0000	29	897		true
k100:56	1.0000	16	1582		true
k100:57	1.0000	9	63		true
k100:58	1.0000	5	362		true
k100:59	1.0000	22	904		true
k100:6	1.0000	31	1041		true
k100:60	1.0000	9	290		true
k100:61	1.0000	35	1561		true
k100:62	1.0000	23	1278		true
k100:63	1.0000	17	238		true
k100:64	1.0000	13	557		true
k100:65	1.0000	20	2896		true
k100:66	1.0000	14	1256		true
k100:67	1.0000	13	449		true
k100:68	1.0000	28	1822		true
k100:69	1.0000	13	901		true
k100:7	1.0000	20	579		true
k100:70	1.0000	15	535		true
k100:71	1.0000	13	196		true
k100:72	1.0000	16	1711		true
k100:73	1.0000	12	345		true
k100:74	1.0000	17	718		true
k100:75	1.0000	11	141		true
k100:76	1.0000	19	472		true
k100:77	1.0000	15	216		true
k100:78	1.0000	20	487		true
k100:79	1.0000	13	328		true
k100:8	1.0000	25	1090		true
k100:80	1.0000	17	303		true
k100:81	1.0000	23	2102		true
k100:82	1.0000	46	4868		true
k100:83	1.0000	19	483		true
k100:84	1.0000	17	831		true
k100:85	1.0000	20	1823		true
k100:86	1.0000	5	31		true
k100:87	1.0000	20	199		true
k100:88	1.0000	7	107		true
k100:89	1.0000	19	1759		true
k100:9	1.0000	34	2202		true
k100:90	1.0000	24	1666		true
k100:91	1.0000	5	53		true
k100:92	1.0000	15	758		true
k100:93	1.0000	19	175		true
k100:94	1.0000	14	313		true
k100:95	1.0000	12	197		true
k100:96	1.0000	7	393		true
k100:97	1.0000	18	394		true
k100:98	1.0000	8	185		true
k100:99	1.0000	11	1301		true
k10:1	1.0000	243	4350		true
k10:10	1.0000	204	5604		true
k10:2	1.0000	145	2954		true
k10:3	1.0000	204	5875		true
k10:4	1.0000	145	6477		true
k10:5	1.0000	268	7147		true
k10:6	1.0000	167	4581		true
k10:7	1.0000	97	2654		true
k10:8	1.0000	116	4963		true
k10:9	1.0000	265	8707		true
k200:1	1.0000	14	667		true
k200:10	1.0000	5	19		true
k200:100	1.0000	11	625		true
k200:101	1.0000	10	107		true
k200:102	1.0000	9	1133		true
k200:103	1.0000	8	788		true
