key	verification_status	flags	repaired
btm:M11.2	clean	0	no
btm:M113	flagged	1	no
btm:M215	flagged	3	no
btm:M71	flagged	1	no
btm:S4	clean	0	no
go:GO:0000278	clean	0	no
go:GO:0002286	flagged	2	no
go:GO:0002291	flagged	1	no
go:GO:0002369	clean	0	no
go:GO:0002711	flagged	2	no
go:GO:0002725	clean	0	no
go:GO:0002831	clean	0	no
go:GO:0003044	clean	0	no
go:GO:0006109	clean	0	no
go:GO:0006198	clean	0	no
go:GO:0006270	flagged	2	no
go:GO:0006325	clean	0	no
go:GO:0006364	clean	0	no
go:GO:0006605	clean	0	no
go:GO:0006760	clean	0	no
go:GO:0006816	clean	0	no
go:GO:0007158	flagged	1	no
go:GO:0007492	flagged	1	no
go:GO:0007494	flagged	2	no
go:GO:0007507	clean	0	no
go:GO:0007610	clean	0	no
go:GO:0008643	flagged	2	no
go:GO:0009113	clean	0	no
go:GO:0009124	clean	0	no
go:GO:0009203	flagged	1	no
go:GO:0010447	flagged	1	no
go:GO:0010564	clean	0	no
go:GO:0010586	clean	0	no
go:GO:0010642	flagged	3	no
go:GO:0010749	flagged	1	no
go:GO:0010906	flagged	1	no
go:GO:0014015	flagged	1	no
go:GO:0016055	clean	0	no
go:GO:0016074	clean	0	no
go:GO:0019370	flagged	3	no
go:GO:0019374	flagged	1	no
go:GO:0022603	clean	0	no
go:GO:0023019	flagged	1	no
go:GO:0030073	clean	0	no
go:GO:0030517	flagged	1	no
go:GO:0031442	flagged	2	no
go:GO:0031952	flagged	1	no
go:GO:0032008	flagged	1	no
go:GO:0032259	flagged	2	no
go:GO:0032261	clean	0	no
go:GO:0032528	clean	0	no
go:GO:0032689	clean	0	no
go:GO:0032735	flagged	1	no
go:GO:0033034	clean	0	no
go:GO:0033144	flagged	2	no
go:GO:0034766	flagged	1	no
go:GO:0035710	clean	0	no
go:GO:0036335	flagged	2	no
go:GO:0036466	flagged	2	no
go:GO:0040011	clean	0	no
go:GO:0042117	clean	0	no
go:GO:0042220	flagged	2	no
go:GO:0042391	clean	0	no
go:GO:0042572	clean	0	no
go:GO:0042661	flagged	1	no
go:GO:0042743	clean	0	no
go:GO:0042770	clean	0	no
go:GO:0043084	flagged	3	no
go:GO:0043371	flagged	1	no
go:GO:0043473	flagged	1	no
go:GO:0044571	clean	0	no
go:GO:0044830	flagged	1	no
go:GO:0045607	flagged	3	no
go:GO:0045723	flagged	1	no
go:GO:0045907	clean	0	no
go:GO:0046085	clean	0	no
go:GO:0046485	clean	0	no
go:GO:0048340	flagged	2	no
go:GO:0048699	flagged	1	no
go:GO:0048874	flagged	1	no
go:GO:0050819	flagged	2	no
go:GO:0050859	flagged	1	no
go:GO:0050885	flagged	1	no
go:GO:0050915	flagged	1	no
go:GO:0051151	flagged	3	no
go:GO:0051261	clean	0	no
go:GO:0051940	flagged	3	no
go:GO:0051984	clean	0	no
go:GO:0051988	flagged	1	no
go:GO:0055003	clean	0	no
go:GO:0060350	clean	0	no
go:GO:0060664	flagged	2	no
go:GO:0060745	flagged	1	no
go:GO:0060759	flagged	1	no
go:GO:0060977	flagged	2	no
go:GO:0061502	flagged	2	no
go:GO:0070173	flagged	1	no
go:GO:0070327	flagged	1	no
go:GO:0070417	flagged	2	no
go:GO:0070601	flagged	2	no
go:GO:0071372	flagged	1	no
go:GO:0071479	clean	0	no
go:GO:0071623	flagged	1	no
go:GO:0071694	clean	0	no
go:GO:0071888	flagged	5	no
go:GO:0072025	flagged	2	no
go:GO:0072318	flagged	1	no
go:GO:0072675	flagged	4	no
go:GO:0086091	clean	0	no
go:GO:0090043	flagged	3	no
go:GO:0090092	clean	0	no
go:GO:0090235	clean	0	no
go:GO:0090238	flagged	2	no
go:GO:0097070	flagged	2	no
go:GO:0097114	flagged	2	no
go:GO:0097168	flagged	1	no
go:GO:0098711	clean	0	no
go:GO:0098901	flagged	2	no
go:GO:0098937	clean	0	no
go:GO:0099041	flagged	2	no
go:GO:0099563	flagged	2	no
go:GO:0110154	clean	0	no
go:GO:0140971	flagged	1	no
go:GO:0150079	clean	0	no
go:GO:0170043	flagged	2	no
go:GO:1901334	flagged	1	no
go:GO:1901658	flagged	1	no
go:GO:1902042	flagged	1	no
go:GO:1902165	flagged	4	no
go:GO:1902175	clean	0	no
go:GO:1903294	flagged	1	no
go:GO:1905203	flagged	1	no
go:GO:1905962	flagged	3	no
go:GO:1990079	flagged	1	no
go:GO:1990144	flagged	2	no
go:GO:1990573	flagged	1	no
go:GO:2000291	flagged	1	no
go:GO:2000340	flagged	1	no
go:GO:2001045	clean	0	no
go:GO:2001186	flagged	1	no
hallmark:HALLMARK_INTERFERON_ALPHA_RESPONSE	clean	0	no
reactome:R-HSA-1236394	clean	0	no
reactome:R-HSA-141333	clean	0	no
reactome:R-HSA-167172	flagged	1	no
reactome:R-HSA-168799	clean	0	no
reactome:R-HSA-171007	clean	0	no
reactome:R-HSA-174490	clean	0	no
reactome:R-HSA-202670	flagged	1	no
reactome:R-HSA-209543	flagged	1	no
reactome:R-HSA-210746	flagged	3	no
reactome:R-HSA-212718	flagged	1	no
reactome:R-HSA-2142670	clean	0	no
reactome:R-HSA-2978092	flagged	1	no
reactome:R-HSA-3304349	clean	0	no
reactome:R-HSA-3595174	flagged	2	no
reactome:R-HSA-379716	flagged	1	no
reactome:R-HSA-380108	clean	0	no
reactome:R-HSA-3814836	flagged	1	no
reactome:R-HSA-3928662	clean	0	no
reactome:R-HSA-4755583	flagged	2	no
reactome:R-HSA-5218900	flagged	2	no
reactome:R-HSA-5250955	clean	0	no
reactome:R-HSA-5250958	clean	0	no
reactome:R-HSA-5250968	clean	0	no
reactome:R-HSA-5250971	clean	0	no
reactome:R-HSA-5250981	clean	0	no
reactome:R-HSA-5250989	clean	0	no
reactome:R-HSA-5250992	clean	0	no
reactome:R-HSA-5621481	flagged	1	no
reactome:R-HSA-5658623	flagged	2	no
reactome:R-HSA-5659735	clean	0	no
reactome:R-HSA-5660724	flagged	2	no
reactome:R-HSA-5678895	flagged	2	no
reactome:R-HSA-5683678	flagged	1	no
reactome:R-HSA-68882	clean	0	no
reactome:R-HSA-69052	flagged	1	no
reactome:R-HSA-69278	clean	0	no
reactome:R-HSA-72163	flagged	1	no
reactome:R-HSA-72306	flagged	1	no
reactome:R-HSA-72312	clean	0	no
reactome:R-HSA-72766	flagged	1	no
reactome:R-HSA-75064	flagged	2	no
reactome:R-HSA-75892	flagged	1	no
reactome:R-HSA-77286	flagged	1	no
reactome:R-HSA-8948216	clean	0	no
reactome:R-HSA-8956321	flagged	1	no
reactome:R-HSA-8963888	clean	0	no
reactome:R-HSA-9013418	flagged	2	no
reactome:R-HSA-9025094	flagged	2	no
reactome:R-HSA-9029569	clean	0	no
reactome:R-HSA-912446	flagged	1	no
reactome:R-HSA-9615933	flagged	1	no
reactome:R-HSA-9629232	flagged	1	no
reactome:R-HSA-9682706	clean	0	no
reactome:R-HSA-9694301	flagged	2	no
reactome:R-HSA-9694493	flagged	3	no
reactome:R-HSA-9694682	flagged	2	no
reactome:R-HSA-9702518	flagged	2	no
reactome:R-HSA-9706019	flagged	4	no
reactome:R-HSA-9716542	clean	0	no
reactome:R-HSA-9733458	flagged	2	no
reactome:R-HSA-9830364	flagged	1	no
reactome:R-HSA-9843745	clean	0	no
reactome:R-HSA-9855142	flagged	1	no
reactome:R-HSA-9918481	clean	0	no
reactome:R-HSA-9937008	flagged	2	no
reactome:R-HSA-9938026	flagged	1	no
reactome:R-HSA-9938027	flagged	3	no
reactome:R-HSA-9960519	flagged	1	no
