pathway_id	pathway_name	symbol	hgnc_id	match_type	test	reason
R-HSA-109581	Apoptosis	MC159L	-	-	0	symbol resolves to no HGNC record
R-HSA-109581	Apoptosis	ORF71	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	IGHV	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	IGLV	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	KIF5C	HGNC:6325	approved	2	gene is covered by the exports but absent from this pathway
R-HSA-109582	Hemostasis	eba-140	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	eba1	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	ebl-1	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaA	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaB	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaC	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaD	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaE	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaF	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaG	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaH	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaI	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaJ	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	opaK	-	-	0	symbol resolves to no HGNC record
R-HSA-109582	Hemostasis	piiC	-	-	0	symbol resolves to no HGNC record
R-HSA-1169408	ISG15 antiviral mechanism	NS	-	-	0	symbol resolves to no HGNC record
R-HSA-1169408	ISG15 antiviral mechanism	gag	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	18S rRNA	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	1a	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	DENCMEMSB	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	E1	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	Genome polyprotein	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	Human respiratory syncytial virus A2, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	IRF1	HGNC:6116	approved	2	gene is covered by the exports but absent from this pathway
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	N	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	NS	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	OPG035	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	SARS coronavirus, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	Sindbis virus, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	TRS1	HGNC:16292	previous	4	gene absent from exports; matched via the previous tier
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	Tick-borne encephalitis virus, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	VP3	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	Vesicular stomatitis Indiana virus, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	West Nile virus RNA, complete genome	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	gag	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	pp1a	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	rep	-	-	0	symbol resolves to no HGNC record
R-HSA-1169410	Antimicrobial mechanism of IFN-stimulated genes	tat	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	ahpC	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	katG	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secA1	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secA2	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secD	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secE	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secF	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secG	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	secY	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	sodB	-	-	0	symbol resolves to no HGNC record
R-HSA-1222387	Tolerance of reactive oxygen produced by macrophages	sodC	-	-	0	symbol resolves to no HGNC record
R-HSA-1222449	Mtb iron assimilation by chelation	Rv2895c	-	-	0	symbol resolves to no HGNC record
R-HSA-1222449	Mtb iron assimilation by chelation	bfr	-	-	0	symbol resolves to no HGNC record
R-HSA-1222449	Mtb iron assimilation by chelation	bfrB	-	-	0	symbol resolves to no HGNC record
R-HSA-1222449	Mtb iron assimilation by chelation	irtA	-	-	0	symbol resolves to no HGNC record
R-HSA-1222449	Mtb iron assimilation by chelation	irtB	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	MT2748	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	Rv2895c	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	adhE2	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	ahpC	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	ahpD	-	-	0	symbol resolves to no HGNC record
R-HSA-1222499	Latent infection - Other responses of Mtb to phagocytosis	ahpE	-	-	0	symbol resolves to no HGNC record
